Row 57: {'time': '2000-03-11 11:37:04', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 6, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 0, 'e': 8, 'total_count': 156}
Row 58: {'time': '2000-03-11 09:25:35', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 2, 'e': 5, 'total_count': 227}
Row 59: {'time': '2000-03-11 08:22:08', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 2, 'e': 6, 'total_count': 219}
Row 60: {'time': '2000-03-11 05:36:56', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 1, 'e': 7, 'total_count': 136}
Row 61: {'time': '2000-03-11 17:30:08', 'p_a_conj': 2, 'p_a_maj': 3, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_min': 1, 'e': 5, 'total_count': 198}
Row 62: {'time': '2000-03-11 05:35:28', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 4, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_min': 5, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 1, 'e': 4, 'total_count': 180}
Row 63: {'time': '2000-03-11 10:23:35', 'p_a_conj': 2, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_min': 3, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 1, 'e': 5, 'total_count': 276}
Row 64: {'time': '2000-03-11 03:20:39', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 2, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 7, 'total_count': 180}
Row 65: {'time': '2000-03-11 10:15:35', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 3, 'h_p_min': 2, 'e': 4, 'total_count': 172}
Row 66: {'time': '2000-03-11 11:38:47', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 4, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 2, 'e': 4, 'total_count': 226}
Row 67: {'time': '2000-03-11 05:01:36', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 5, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 4, 'h_p_min': 0, 'e': 5, 'total_count': 317}
Row 68: {'time': '2000-03-11 06:48:47', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_min': 6, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 4, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 0, 'e': 3, 'total_count': 237}
Row 69: {'time': '2000-03-11 16:04:23', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 3, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 2, 'h_p_min': 2, 'e': 3, 'total_count': 255}
Row 70: {'time': '2000-03-11 08:49:36', 'p_a_conj': 2, 'p_a_maj': 1, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 1, 'e': 5, 'total_count': 212}
