['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:12:00, 13, opp/conj: 3', 'sqr/tri/sext: 3', 'major: 6', 'minor: 7']
['23:12:08, 13, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 7']
['23:12:16, 14, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 10']
['23:12:24, 13, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 10']
['23:12:31, 17, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 11']
['23:12:39, 16, opp/conj: 2', 'sqr/tri/sext: 4', 'major: 6', 'minor: 10']
['23:12:47, 16, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 9']
['23:12:56, 17, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 8']
['23:13:04, 17, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 8']
['23:13:12, 17, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 8']
['23:13:20, 16, opp/conj: 2', 'sqr/tri/sext: 7', 'major: 9', 'minor: 7']
['23:13:28, 17, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 9']
['23:13:36, 18, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 9']
['23:13:44, 17, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 7']
['23:13:52, 19, opp/conj: 1', 'sqr/tri/sext: 12', 'major: 13', 'minor: 6']
['23:14:00, 21, opp/conj: 0', 'sqr/tri/sext: 12', 'major: 12', 'minor: 9']
['23:14:08, 21, opp/conj: 0', 'sqr/tri/sext: 13', 'major: 13', 'minor: 8']
['23:14:15, 22, opp/conj: 1', 'sqr/tri/sext: 12', 'major: 13', 'minor: 9']
['23:14:23, 26, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 12']
['23:14:31, 25, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 11']
['23:14:39, 27, opp/conj: 2', 'sqr/tri/sext: 13', 'major: 15', 'minor: 12']
['23:14:47, 23, opp/conj: 2', 'sqr/tri/sext: 11', 'major: 13', 'minor: 10']
['23:14:56, 24, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 10']
['23:15:04, 22, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 10']
['23:15:12, 22, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 11']
['23:15:20, 20, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 9']
['23:15:28, 18, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 9']
['23:15:36, 17, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 9']
['23:15:44, 14, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 7']
['23:15:51, 17, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 10']
['23:15:59, 16, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 9']
['23:16:07, 15, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 9']
['23:16:15, 15, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 9']
['23:16:23, 13, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 9']
['23:16:31, 15, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 10']
['23:16:39, 17, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 11']
['23:16:47, 16, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 9']
['23:16:56, 14, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 8']
['23:17:04, 14, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 7']
['23:17:12, 14, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 7']
['23:17:20, 14, opp/conj: 0', 'sqr/tri/sext: 8', 'major: 8', 'minor: 6']
['23:17:28, 14, opp/conj: 0', 'sqr/tri/sext: 8', 'major: 8', 'minor: 6']
['23:17:36, 15, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 6']
['23:17:44, 16, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 6']
['23:17:52, 18, opp/conj: 1', 'sqr/tri/sext: 10', 'major: 11', 'minor: 7']
['23:18:00, 19, opp/conj: 1', 'sqr/tri/sext: 13', 'major: 14', 'minor: 5']
['23:18:08, 23, opp/conj: 1', 'sqr/tri/sext: 14', 'major: 15', 'minor: 8']
['23:18:16, 22, opp/conj: 2', 'sqr/tri/sext: 12', 'major: 14', 'minor: 8']
['23:18:24, 20, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 8']
['23:18:32, 22, opp/conj: 2', 'sqr/tri/sext: 10', 'major: 12', 'minor: 10']
['23:18:40, 20, opp/conj: 2', 'sqr/tri/sext: 9', 'major: 11', 'minor: 9']
['23:18:48, 20, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 10']
['23:18:56, 23, opp/conj: 2', 'sqr/tri/sext: 8', 'major: 10', 'minor: 13']
['23:19:04, 22, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 14']
['23:19:12, 21, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 13']
['23:19:20, 20, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 13']
['23:19:28, 20, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 12']
['23:19:36, 20, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 12']
['23:19:44, 20, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 12']
['23:19:52, 19, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 12']
['23:20:00, 19, opp/conj: 1', 'sqr/tri/sext: 6', 'major: 7', 'minor: 12']
['23:20:08, 23, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 15']
['23:20:16, 20, opp/conj: 1', 'sqr/tri/sext: 7', 'major: 8', 'minor: 12']
