['Time', 'Event0', 'Event1', 'Event2', 'Event3', 'Event4', 'Event5', 'Event6', 'Event7', 'Event8', 'Event9', 'Event10', 'Event11', 'Event12', 'Event13', 'Event14', 'Count']
['23:04:47', '', '', '', "(Uranus,55.574,(r)) (MC,25.498,(d)) (30-semisextile,5')", "(Sun,195.509,(r)) (ASC,135.510,(d)) (sextile,0')\n(ASC,118.636,(r)) (Venus,163.668,(d)) (45-semisquare,2')", '', '', '', '', '', '', '', "(Venus,152.346,(r)) (ASC,92.341,(c)) (sextile,0')\n(MC,0.695,(r)) (Jupiter,0.641,(c)) (conjunction,3')", '', "(Neptune,176.003,(r)) (ASC,145.915,(d)) (30-semisextile,5')", 6]
['23:04:56', "(Venus,152.346,(r)) (ASC,107.263,(c)) (45-semisquare,5')", '', '', "(Uranus,55.574,(r)) (MC,25.533,(d)) (30-semisextile,2')", "(Sun,195.509,(r)) (ASC,135.533,(d)) (sextile,1')\n(ASC,118.659,(r)) (Venus,163.670,(d)) (45-semisquare,1')", '', '', '', '', '', '', '', "(Venus,152.346,(r)) (ASC,92.371,(c)) (sextile,1')\n(MC,0.732,(r)) (Jupiter,0.649,(c)) (conjunction,5')", '', "(Neptune,176.003,(r)) (ASC,145.937,(d)) (30-semisextile,4')", 7]
['23:05:04', "(Venus,152.346,(r)) (ASC,107.289,(c)) (45-semisquare,3')", '', '', "(Uranus,55.574,(r)) (MC,25.569,(d)) (30-semisextile,0')", "(Sun,195.510,(r)) (ASC,135.556,(d)) (sextile,3')\n(ASC,118.683,(r)) (Venus,163.672,(d)) (45-semisquare,1')", '', '', '', '', '', '', '', "(Venus,152.346,(r)) (ASC,92.401,(c)) (sextile,3')\n(MC,0.768,(r)) (Jupiter,0.658,(c)) (conjunction,7')", '', "(Neptune,176.003,(r)) (ASC,145.960,(d)) (30-semisextile,3')", 7]
['23:05:12', "(Venus,152.347,(r)) (ASC,107.314,(c)) (45-semisquare,2')", "(Jupiter,43.773,(r)) (ASC,133.689,(d)) (square,5')", '', "(Uranus,55.574,(r)) (MC,25.604,(d)) (30-semisextile,2')", "(Sun,195.510,(r)) (ASC,135.579,(d)) (sextile,4')\n(ASC,118.707,(r)) (Venus,163.674,(d)) (45-semisquare,2')\n(ASC,118.707,(r)) (Mercury,208.788,(c)) (square,5')", '', '', '', '', '', '', '', "(Venus,152.347,(r)) (ASC,92.431,(c)) (sextile,5')\n(MC,0.805,(r)) (Jupiter,0.666,(c)) (conjunction,8')", '', "(Neptune,176.003,(r)) (ASC,145.983,(d)) (30-semisextile,1')", 9]
['23:05:20', "(Venus,152.347,(r)) (ASC,107.340,(c)) (45-semisquare,0')", "(Jupiter,43.773,(r)) (ASC,133.712,(d)) (square,4')", '', "(Uranus,55.574,(r)) (MC,25.639,(d)) (30-semisextile,4')", "(Sun,195.510,(r)) (ASC,135.602,(d)) (sextile,6')\n(ASC,118.731,(r)) (Venus,163.676,(d)) (45-semisquare,3')\n(ASC,118.731,(r)) (Mercury,208.786,(c)) (square,3')", '', '', '', '', '', '', '', "(MC,0.841,(r)) (Jupiter,0.674,(c)) (conjunction,10')", '', "(Neptune,176.003,(r)) (ASC,146.006,(d)) (30-semisextile,0')", 8]
['23:05:28', "(Venus,152.347,(r)) (ASC,107.365,(c)) (45-semisquare,1')", "(Jupiter,43.773,(r)) (ASC,133.735,(d)) (square,2')", '', '', "(ASC,118.754,(r)) (Venus,163.678,(d)) (45-semisquare,5')\n(Uranus,55.574,(r)) (ASC,100.486,(c)) (45-semisquare,5')\n(ASC,118.754,(r)) (Mercury,208.784,(c)) (square,2')", '', '', '', "(Mars,182.168,(r)) (MC,32.076,(d)) (150-quincunx,6')", '', '', '', '', '', "(Neptune,176.003,(r)) (ASC,146.028,(d)) (30-semisextile,2')", 7]
['23:05:36', "(Venus,152.347,(r)) (ASC,107.391,(c)) (45-semisquare,3')", "(Jupiter,43.773,(r)) (ASC,133.758,(d)) (square,1')", '', '', "(Uranus,55.574,(r)) (ASC,100.513,(c)) (45-semisquare,4')\n(ASC,118.778,(r)) (Mercury,208.782,(c)) (square,0')", '', '', '', "(Mars,182.168,(r)) (MC,32.111,(d)) (150-quincunx,3')", '', '', '', '', '', "(Neptune,176.003,(r)) (ASC,146.051,(d)) (30-semisextile,3')", 6]
['23:05:43', "(Venus,152.347,(r)) (ASC,107.416,(c)) (45-semisquare,4')", "(Jupiter,43.773,(r)) (ASC,133.781,(d)) (square,0')", '', '', "(Uranus,55.574,(r)) (ASC,100.540,(c)) (45-semisquare,2')\n(ASC,118.802,(r)) (Mercury,208.780,(c)) (square,1')", '', '', '', "(Mars,182.168,(r)) (MC,32.146,(d)) (150-quincunx,1')", '', '', '', '', '', "(Neptune,176.003,(r)) (ASC,146.074,(d)) (30-semisextile,4')", 6]
['23:05:51', '', "(Jupiter,43.773,(r)) (ASC,133.804,(d)) (square,2')", '', '', "(Uranus,55.574,(r)) (ASC,100.567,(c)) (45-semisquare,0')\n(ASC,118.826,(r)) (Mercury,208.778,(c)) (square,3')", '', '', '', "(Mars,182.168,(r)) (MC,32.181,(d)) (150-quincunx,1')", '', '', '', '', '', '', 4]
['23:06:00', '', "(Jupiter,43.773,(r)) (ASC,133.827,(d)) (square,3')", '', '', "(Uranus,55.574,(r)) (ASC,100.594,(c)) (45-semisquare,1')\n(ASC,118.849,(r)) (Mercury,208.776,(c)) (square,4')", '', '', '', "(Mars,182.168,(r)) (MC,32.215,(d)) (150-quincunx,3')", '', '', '', '', '', '', 4]
