['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:31:12, 4, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 0']
['23:31:20, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 1']
['23:31:28, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:31:36, 7, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:31:44, 9, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:31:52, 11, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 2']
['23:32:00, 11, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 3']
['23:32:08, 11, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 3']
['23:32:16, 8, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 4']
['23:32:24, 7, opp/conj: 2', 'sqr/tri/sext: 0', 'major: 2', 'minor: 3']
['23:32:32, 8, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:32:40, 8, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:32:48, 8, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:32:56, 6, opp/conj: 2', 'sqr/tri/sext: 2', 'major: 4', 'minor: 1']
['23:33:04, 4, opp/conj: 0', 'sqr/tri/sext: 2', 'major: 2', 'minor: 1']
['23:33:12, 4, opp/conj: 0', 'sqr/tri/sext: 1', 'major: 1', 'minor: 2']
['23:33:20, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:33:28, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:33:36, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 2']
['23:33:44, 4, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:33:52, 4, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:34:00, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 0']
['23:34:08, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 0']
['23:34:16, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 0']
['23:34:24, 5, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 0']
['23:34:31, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:34:39, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:34:47, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:34:56, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:35:04, 7, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 2']
['23:35:12, 7, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 1']
['23:35:20, 8, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:35:28, 7, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:35:36, 6, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 2']
['23:35:44, 5, opp/conj: 1', 'sqr/tri/sext: 2', 'major: 3', 'minor: 1']
['23:35:52, 4, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 1']
['23:36:00, 3, opp/conj: 1', 'sqr/tri/sext: 0', 'major: 1', 'minor: 2']
['23:36:08, 5, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 3']
['23:36:15, 7, opp/conj: 1', 'sqr/tri/sext: 1', 'major: 2', 'minor: 5']
['23:36:23, 9, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 5']
['23:36:31, 10, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 5']
['23:36:39, 10, opp/conj: 1', 'sqr/tri/sext: 3', 'major: 4', 'minor: 5']
