['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['23:28:15, 8, opp/conj: 6', 'sqr/tri/sext: 2', 'major: 8', 'minor: 0']
['23:28:23, 6, opp/conj: 4', 'sqr/tri/sext: 2', 'major: 6', 'minor: 0']
['23:28:31, 6, opp/conj: 4', 'sqr/tri/sext: 2', 'major: 6', 'minor: 0']
['23:28:39, 6, opp/conj: 4', 'sqr/tri/sext: 2', 'major: 6', 'minor: 0']
['23:28:47, 7, opp/conj: 5', 'sqr/tri/sext: 2', 'major: 7', 'minor: 0']
['23:28:56, 6, opp/conj: 6', 'sqr/tri/sext: 0', 'major: 6', 'minor: 0']
['23:29:04, 6, opp/conj: 6', 'sqr/tri/sext: 0', 'major: 6', 'minor: 0']
['23:29:12, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:29:20, 3, opp/conj: 3', 'sqr/tri/sext: 0', 'major: 3', 'minor: 0']
['23:29:28, 4, opp/conj: 4', 'sqr/tri/sext: 0', 'major: 4', 'minor: 0']
['23:29:36, 3, opp/conj: 3', 'sqr/tri/sext: 0', 'major: 3', 'minor: 0']
['23:29:44, 3, opp/conj: 3', 'sqr/tri/sext: 0', 'major: 3', 'minor: 0']
['23:29:52, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:00, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:08, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:16, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:24, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:32, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:40, 5, opp/conj: 5', 'sqr/tri/sext: 0', 'major: 5', 'minor: 0']
['23:30:48, 5, opp/conj: 4', 'sqr/tri/sext: 1', 'major: 5', 'minor: 0']
['23:30:56, 4, opp/conj: 3', 'sqr/tri/sext: 1', 'major: 4', 'minor: 0']
['23:31:04, 5, opp/conj: 3', 'sqr/tri/sext: 2', 'major: 5', 'minor: 0']
['23:31:12, 5, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 0']
['23:31:20, 5, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 0']
['23:31:28, 5, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 0']
['23:31:36, 5, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 0']
['23:31:44, 5, opp/conj: 2', 'sqr/tri/sext: 3', 'major: 5', 'minor: 0']
['23:31:52, 3, opp/conj: 0', 'sqr/tri/sext: 3', 'major: 3', 'minor: 0']
['23:32:00, 5, opp/conj: 0', 'sqr/tri/sext: 5', 'major: 5', 'minor: 0']
['23:32:08, 6, opp/conj: 0', 'sqr/tri/sext: 6', 'major: 6', 'minor: 0']
['23:32:16, 7, opp/conj: 0', 'sqr/tri/sext: 7', 'major: 7', 'minor: 0']
['23:32:24, 9, opp/conj: 0', 'sqr/tri/sext: 9', 'major: 9', 'minor: 0']
