['Time, Count, opp/conj: 0', 'sqr/tri/sext: 0', 'major: 0', 'minor: 0']
['20:18:16, 228, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 8']
['20:18:24, 220, opp/conj: 1', 'sqr/tri/sext: 9', 'major: 10', 'minor: 7']
['20:18:32, 204, opp/conj: 1', 'sqr/tri/sext: 8', 'major: 9', 'minor: 7']
['20:18:40, 136, opp/conj: 1', 'sqr/tri/sext: 5', 'major: 6', 'minor: 6']
['20:18:48, 124, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 6']
['20:18:56, 154, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 10']
['20:19:04, 150, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 10']
['20:19:12, 140, opp/conj: 1', 'sqr/tri/sext: 4', 'major: 5', 'minor: 8']
['20:19:20, 156, opp/conj: 2', 'sqr/tri/sext: 5', 'major: 7', 'minor: 7']
['20:19:28, 176, opp/conj: 2', 'sqr/tri/sext: 6', 'major: 8', 'minor: 8']
['20:19:36, 255, opp/conj: 4', 'sqr/tri/sext: 9', 'major: 13', 'minor: 7']
['20:19:44, 231, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 6']
['20:19:52, 221, opp/conj: 4', 'sqr/tri/sext: 8', 'major: 12', 'minor: 6']
['20:20:00, 225, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 8']
['20:20:08, 217, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 7']
['20:20:16, 215, opp/conj: 4', 'sqr/tri/sext: 7', 'major: 11', 'minor: 8']
['20:20:24, 267, opp/conj: 5', 'sqr/tri/sext: 7', 'major: 12', 'minor: 11']
['20:20:32, 239, opp/conj: 5', 'sqr/tri/sext: 4', 'major: 9', 'minor: 12']
['20:20:40, 270, opp/conj: 6', 'sqr/tri/sext: 4', 'major: 10', 'minor: 14']
['20:20:48, 304, opp/conj: 7', 'sqr/tri/sext: 4', 'major: 11', 'minor: 16']
['20:20:56, 353, opp/conj: 8', 'sqr/tri/sext: 5', 'major: 13', 'minor: 16']
['20:21:04, 341, opp/conj: 7', 'sqr/tri/sext: 6', 'major: 13', 'minor: 16']
['20:21:12, 343, opp/conj: 8', 'sqr/tri/sext: 6', 'major: 14', 'minor: 12']
