['Time', 'Event0', 'Count']
['02:28:15', "(MC,54.020,(r)) (Mean_Node,204.012,(d)) (150-quincunx,0')", 1]
['02:28:23', "(MC,54.053,(r)) (Mean_Node,204.010,(d)) (150-quincunx,3')", 1]
['02:28:31', "(MC,54.085,(r)) (Mean_Node,204.007,(d)) (150-quincunx,5')", 1]
['02:28:39', '', 0]
['02:28:47', '', 0]
['02:28:56', '', 0]
['02:29:04', '', 0]
['02:29:12', '', 0]
['02:29:20', '', 0]
['02:29:28', '', 0]
['02:29:36', '', 0]
['02:29:44', '', 0]
['02:29:52', '', 0]
['02:30:00', '', 0]
['02:30:08', '', 0]
['02:30:16', '', 0]
['02:30:24', '', 0]
['02:30:32', '', 0]
['02:30:40', '', 0]
['02:30:48', '', 0]
['02:30:56', '', 0]
['02:31:04', '', 0]
['02:31:12', '', 0]
['02:31:20', '', 0]
['02:31:28', '', 0]
['02:31:36', "(ASC,154.262,(r)) (Pluto,109.335,(c)) (45-semisquare,4')", 1]
['02:31:44', "(ASC,154.285,(r)) (Pluto,109.336,(c)) (45-semisquare,3')", 1]
['02:31:52', "(ASC,154.308,(r)) (Pluto,109.336,(c)) (45-semisquare,2')", 1]
['02:32:00', "(ASC,154.331,(r)) (Pluto,109.337,(c)) (45-semisquare,0')", 1]
['02:32:08', "(ASC,154.354,(r)) (Pluto,109.337,(c)) (45-semisquare,1')", 1]
['02:32:16', "(ASC,154.377,(r)) (Pluto,109.338,(c)) (45-semisquare,2')", 1]
['02:32:24', "(ASC,154.399,(r)) (Pluto,109.338,(c)) (45-semisquare,4')", 1]
['02:32:32', "(ASC,154.422,(r)) (Pluto,109.338,(c)) (45-semisquare,5')", 1]
['02:32:40', '', 0]
['02:32:48', '', 0]
['02:32:56', '', 0]
['02:33:04', '', 0]
['02:33:12', '', 0]
['02:33:20', '', 0]
['02:33:28', '', 0]
['02:33:36', '', 0]
['02:33:44', '', 0]
['02:33:52', '', 0]
['02:34:00', '', 0]
['02:34:08', '', 0]
['02:34:16', '', 0]
['02:34:24', '', 0]
['02:34:31', '', 0]
['02:34:39', '', 0]
['02:34:47', '', 0]
['02:34:56', '', 0]
['02:35:04', '', 0]
['02:35:12', "(Mean_Node,190.616,(r)) (MC,70.526,(d)) (trine,5')", 1]
['02:35:20', "(Mean_Node,190.616,(r)) (MC,70.557,(d)) (trine,3')", 1]
['02:35:28', "(Mean_Node,190.616,(r)) (MC,70.589,(d)) (trine,2')", 1]
['02:35:36', "(Moon,295.705,(r)) (MC,70.620,(d)) (135-sesquisquare,5')\n(Mean_Node,190.616,(r)) (MC,70.620,(d)) (trine,0')", 2]
['02:35:44', "(Moon,295.706,(r)) (MC,70.651,(d)) (135-sesquisquare,3')\n(Mean_Node,190.616,(r)) (MC,70.651,(d)) (trine,2')", 2]
['02:35:52', "(Moon,295.707,(r)) (MC,70.683,(d)) (135-sesquisquare,1')\n(Mean_Node,190.616,(r)) (MC,70.683,(d)) (trine,4')", 2]
['02:36:00', "(Moon,295.708,(r)) (MC,70.714,(d)) (135-sesquisquare,0')", 1]
['02:36:08', "(Moon,295.709,(r)) (MC,70.745,(d)) (135-sesquisquare,2')", 1]
['02:36:15', "(Moon,295.711,(r)) (MC,70.776,(d)) (135-sesquisquare,4')\n(Mean_Node,190.616,(r)) (MC,40.530,(c)) (150-quincunx,5')", 2]
['02:36:23', "(Mean_Node,190.616,(r)) (MC,40.564,(c)) (150-quincunx,3')", 1]
['02:36:31', "(Mean_Node,190.616,(r)) (MC,40.598,(c)) (150-quincunx,1')", 1]
['02:36:39', "(Mean_Node,190.616,(r)) (MC,40.632,(c)) (150-quincunx,1')", 1]
['02:36:47', "(Mean_Node,190.616,(r)) (MC,40.666,(c)) (150-quincunx,3')", 1]
['02:36:56', "(Mean_Node,190.616,(r)) (MC,40.699,(c)) (150-quincunx,5')", 1]
['02:37:04', '', 0]
['02:37:12', '', 0]
['02:37:20', '', 0]
['02:37:28', '', 0]
['02:37:36', '', 0]
['02:37:44', '', 0]
['02:37:52', "(Neptune,176.008,(r)) (MC,40.937,(c)) (135-sesquisquare,4')", 1]
['02:37:59', "(Neptune,176.008,(r)) (MC,40.971,(c)) (135-sesquisquare,2')", 1]
['02:38:07', "(Neptune,176.008,(r)) (MC,41.005,(c)) (135-sesquisquare,0')", 1]
['02:38:15', "(Neptune,176.008,(r)) (MC,41.039,(c)) (135-sesquisquare,2')", 1]
['02:38:23', "(Neptune,176.008,(r)) (MC,41.073,(c)) (135-sesquisquare,4')", 1]
['02:38:31', '', 0]
['02:38:39', '', 0]
['02:38:47', '', 0]
['02:38:56', '', 0]
['02:39:04', '', 0]
['02:39:12', '', 0]
['02:39:20', '', 0]
['02:39:28', '', 0]
['02:39:36', '', 0]
['02:39:43', '', 0]
['02:39:51', '', 0]
['02:40:00', '', 0]
['02:40:08', '', 0]
['02:40:16', '', 0]
['02:40:24', '', 0]
['02:40:32', '', 0]
['02:40:40', '', 0]
['02:40:48', '', 0]
['02:40:56', '', 0]
['02:41:04', '', 0]
['02:41:12', '', 0]
['02:41:20', '', 0]
['02:41:28', '', 0]
['02:41:36', "(MC,57.270,(r)) (Mean_Node,177.351,(c)) (trine,5')", 1]
['02:41:44', "(MC,57.302,(r)) (Mean_Node,177.353,(c)) (trine,3')", 1]
['02:41:52', "(MC,57.335,(r)) (Mean_Node,177.355,(c)) (trine,1')", 1]
['02:42:00', "(MC,57.367,(r)) (Mean_Node,177.357,(c)) (trine,1')", 1]
['02:42:08', "(MC,57.399,(r)) (Mean_Node,177.359,(c)) (trine,2')", 1]
['02:42:16', "(MC,57.432,(r)) (Mean_Node,177.361,(c)) (trine,4')", 1]
['02:42:24', '', 0]
['02:42:32', "(Mean_Node,190.615,(r)) (ASC,145.542,(c)) (45-semisquare,4')", 1]
['02:42:40', "(Mean_Node,190.615,(r)) (ASC,145.565,(c)) (45-semisquare,3')", 1]
['02:42:48', "(Mean_Node,190.615,(r)) (ASC,145.588,(c)) (45-semisquare,2')", 1]
['02:42:56', "(Mean_Node,190.615,(r)) (ASC,145.610,(c)) (45-semisquare,0')", 1]
['02:43:04', "(Mean_Node,190.615,(r)) (ASC,145.633,(c)) (45-semisquare,1')", 1]
['02:43:12', "(Mean_Node,190.615,(r)) (ASC,145.656,(c)) (45-semisquare,2')", 1]
['02:43:20', "(Mean_Node,190.615,(r)) (ASC,145.679,(c)) (45-semisquare,4')", 1]
['02:43:28', "(Moon,295.774,(r)) (ASC,145.701,(c)) (150-quincunx,4')\n(Mean_Node,190.615,(r)) (ASC,145.701,(c)) (45-semisquare,5')", 2]
['02:43:36', "(Moon,295.775,(r)) (ASC,145.724,(c)) (150-quincunx,3')", 1]
['02:43:44', "(Moon,295.777,(r)) (ASC,145.747,(c)) (150-quincunx,2')", 1]
['02:43:52', "(Moon,295.778,(r)) (ASC,145.770,(c)) (150-quincunx,0')", 1]
['02:44:00', "(Moon,295.779,(r)) (ASC,145.792,(c)) (150-quincunx,1')", 1]
['02:44:08', "(Moon,295.780,(r)) (ASC,145.815,(c)) (150-quincunx,2')", 1]
['02:44:16', "(Moon,295.781,(r)) (ASC,145.838,(c)) (150-quincunx,3')", 1]
['02:44:24', "(Moon,295.782,(r)) (ASC,145.861,(c)) (150-quincunx,5')", 1]
['02:44:32', '', 0]
['02:44:40', "(MC,58.013,(r)) (Saturn,58.175,(d)) (conjunction,10')", 1]
['02:44:47', "(MC,58.046,(r)) (Saturn,58.172,(d)) (conjunction,8')\n(Neptune,176.008,(r)) (ASC,145.929,(c)) (30-semisextile,5')", 2]
['02:44:56', "(MC,58.078,(r)) (Saturn,58.169,(d)) (conjunction,5')\n(Neptune,176.008,(r)) (ASC,145.952,(c)) (30-semisextile,3')", 2]
['02:45:04', "(MC,58.110,(r)) (Saturn,58.166,(d)) (conjunction,3')\n(Neptune,176.008,(r)) (ASC,145.974,(c)) (30-semisextile,2')", 2]
['02:45:12', "(MC,58.143,(r)) (Saturn,58.164,(d)) (conjunction,1')\n(Neptune,176.008,(r)) (ASC,145.997,(c)) (30-semisextile,1')", 2]
['02:45:20', "(MC,58.175,(r)) (Saturn,58.161,(d)) (conjunction,1')\n(Neptune,176.008,(r)) (ASC,146.020,(c)) (30-semisextile,1')", 2]
['02:45:28', "(MC,58.207,(r)) (Saturn,58.158,(d)) (conjunction,3')\n(Neptune,176.008,(r)) (ASC,146.043,(c)) (30-semisextile,2')", 2]
['02:45:36', "(MC,58.239,(r)) (Saturn,58.156,(d)) (conjunction,5')\n(Neptune,176.008,(r)) (ASC,146.065,(c)) (30-semisextile,3')", 2]
['02:45:44', "(MC,58.272,(r)) (Saturn,58.153,(d)) (conjunction,7')\n(Neptune,176.008,(r)) (ASC,146.088,(c)) (30-semisextile,5')", 2]
['02:45:52', "(MC,58.304,(r)) (Saturn,58.150,(d)) (conjunction,9')", 1]
['02:46:00', '', 0]
['02:46:08', '', 0]
['02:46:16', '', 0]
['02:46:24', "(Saturn,43.256,(r)) (MC,43.104,(c)) (conjunction,9')", 1]
['02:46:31', "(Saturn,43.256,(r)) (MC,73.180,(d)) (30-semisextile,5')\n(Saturn,43.256,(r)) (MC,43.137,(c)) (conjunction,7')\n(MC,58.465,(r)) (Saturn,28.545,(c)) (30-semisextile,5')", 3]
['02:46:39', "(Saturn,43.256,(r)) (MC,73.211,(d)) (30-semisextile,3')\n(Saturn,43.256,(r)) (MC,43.171,(c)) (conjunction,5')\n(MC,58.497,(r)) (Saturn,28.546,(c)) (30-semisextile,3')", 3]
['02:46:47', "(Saturn,43.256,(r)) (MC,73.242,(d)) (30-semisextile,1')\n(Saturn,43.256,(r)) (MC,43.205,(c)) (conjunction,3')\n(MC,58.530,(r)) (Saturn,28.547,(c)) (30-semisextile,1')", 3]
['02:46:56', "(Saturn,43.256,(r)) (MC,73.274,(d)) (30-semisextile,1')\n(Saturn,43.256,(r)) (MC,43.238,(c)) (conjunction,1')\n(MC,58.562,(r)) (Saturn,28.548,(c)) (30-semisextile,1')", 3]
['02:47:04', "(Saturn,43.256,(r)) (MC,73.305,(d)) (30-semisextile,3')\n(Saturn,43.256,(r)) (MC,43.272,(c)) (conjunction,1')\n(MC,58.594,(r)) (Saturn,28.549,(c)) (30-semisextile,3')", 3]
['02:47:12', "(Saturn,43.256,(r)) (MC,73.336,(d)) (30-semisextile,5')\n(Saturn,43.256,(r)) (MC,43.306,(c)) (conjunction,3')\n(MC,58.626,(r)) (Saturn,28.550,(c)) (30-semisextile,5')", 3]
['02:47:20', "(Saturn,43.256,(r)) (MC,43.340,(c)) (conjunction,5')", 1]
['02:47:28', "(Saturn,43.256,(r)) (MC,43.373,(c)) (conjunction,7')", 1]
['02:47:36', "(Saturn,43.256,(r)) (MC,43.407,(c)) (conjunction,9')", 1]
['02:47:44', '', 0]
['02:47:52', '', 0]
['02:48:00', '', 0]
['02:48:07', '', 0]
['02:48:15', '', 0]
['02:48:23', '', 0]
['02:48:31', '', 0]
['02:48:39', '', 0]
['02:48:47', '', 0]
['02:48:56', '', 0]
['02:49:04', '', 0]
['02:49:12', '', 0]
['02:49:20', '', 0]
['02:49:28', '', 0]
['02:49:36', '', 0]
['02:49:44', '', 0]
['02:49:51', '', 0]
['02:49:59', '', 0]
['02:50:07', '', 0]
['02:50:15', '', 0]
['02:50:23', "(MC,59.399,(r)) (Mars,194.478,(d)) (135-sesquisquare,5')", 1]
['02:50:31', "(MC,59.431,(r)) (Mars,194.475,(d)) (135-sesquisquare,3')\n(ASC,157.504,(r)) (Neptune,187.596,(d)) (30-semisextile,6')", 2]
['02:50:39', "(MC,59.463,(r)) (Mars,194.473,(d)) (135-sesquisquare,1')\n(ASC,157.527,(r)) (Neptune,187.594,(d)) (30-semisextile,4')", 2]
['02:50:47', "(MC,59.495,(r)) (Mars,194.471,(d)) (135-sesquisquare,1')\n(ASC,157.549,(r)) (Neptune,187.591,(d)) (30-semisextile,3')", 2]
['02:50:56', "(MC,59.528,(r)) (Mars,194.469,(d)) (135-sesquisquare,4')\n(ASC,157.572,(r)) (Neptune,187.589,(d)) (30-semisextile,1')", 2]
['02:51:04', "(MC,59.560,(r)) (Mars,194.466,(d)) (135-sesquisquare,6')\n(ASC,157.595,(r)) (Neptune,187.587,(d)) (30-semisextile,0')", 2]
['02:51:12', "(ASC,157.618,(r)) (Neptune,187.585,(d)) (30-semisextile,2')", 1]
['02:51:20', "(ASC,157.641,(r)) (Neptune,187.582,(d)) (30-semisextile,4')", 1]
['02:51:28', "(ASC,157.664,(r)) (Neptune,187.580,(d)) (30-semisextile,5')", 1]
['02:51:36', '', 0]
['02:51:44', '', 0]
['02:51:52', '', 0]
['02:52:00', '', 0]
['02:52:08', '', 0]
['02:52:16', '', 0]
['02:52:24', '', 0]
['02:52:32', '', 0]
['02:52:40', '', 0]
['02:52:48', '', 0]
['02:52:56', '', 0]
['02:53:04', '', 0]
['02:53:12', '', 0]
['02:53:20', '', 0]
['02:53:28', '', 0]
['02:53:36', '', 0]
