['Time', '0: 1917-11-30', '1: 1927-06-30', '2: 1927-06-30', '3: 1930-07-20', '4: 1940-01-01', '5: 1941-12-07', '6: 1942-03-20', '7: 1943-06-25', '8: 1944-04-20', '9: 1948-02-07', '10: 1949-01-15', '11: 1949-12-04', '12: 1952-04-22', '13: 1954-01-18', '14: 1963-04-29', '15: 1974-08-21', '16: 1978-09-21', 'Count']
['1916-09-07 02:37:36', '0', "(Neptune,123.896,(r)) (H9,303.909,(d)) (opposition,0.77')\n(Mercury,190.809,(r)) (H10,310.900,(c)) (trine,5.48')", '2', '3', "(Mars,208.919,(r)) (H10,298.893,(c)) (square,1.58')", '5', "(Saturn,116.897,(r)) (H10,296.808,(c)) (opposition,5.34')", '7', '8', '9', '10', "(Mean_Node,296.507,(r)) (H4,176.487,(d)) (trine,1.20')", '12', '13', '14', '15', '16', 5]
['1916-09-07 01:08:56', '0', '1', '2', '3', "(Mercury,190.743,(r)) (H1,10.653,(c)) (opposition,5.43')", "(Mean_Node,296.510,(r)) (H3,116.362,(d)) (opposition,8.91')", "(Mean_Node,296.510,(r)) (H3,116.622,(d)) (opposition,6.71')", '7', '8', '9', "(Mercury,190.743,(r)) (H1,70.710,(d)) (trine,1.96')", '11', "(Jupiter,35.141,(r)) (H4,155.062,(d)) (trine,4.78')", '13', '14', "(Pluto,94.272,(r)) (H7,274.324,(d)) (opposition,3.08')", "(Neptune,123.894,(r)) (H8,303.751,(d)) (opposition,8.57')", 7]
['1916-09-06 21:17:12', '0', "(Uranus,316.697,(r)) (H1,316.782,(c)) (conjunction,5.11')", '2', '3', '4', '5', "(Pluto,94.271,(r)) (H12,274.277,(c)) (opposition,0.35')", "(Mean_Node,296.519,(r)) (H5,116.384,(d)) (opposition,8.12')", '8', "(Jupiter,35.148,(r)) (H4,35.009,(c)) (conjunction,8.35')", "(Jupiter,35.148,(r)) (H10,275.127,(d)) (trine,1.23')", '11', '12', "(Mars,208.772,(r)) (H4,28.904,(c)) (opposition,7.90')", '14', "(Mars,208.772,(r)) (H4,118.688,(d)) (square,5.02')", '16', 7]
['1916-09-06 08:56:00', '0', '1', '2', '3', '4', "(Jupiter,35.169,(r)) (H10,35.289,(c)) (conjunction,7.21')", '6', '7', '8', "(Moon,268.940,(r)) (H4,268.949,(d)) (conjunction,0.57')\n(Moon,268.940,(r)) (H4,208.959,(c)) (sextile,1.16')", '10', '11', '12', '13', '14', '15', "(Mars,208.432,(r)) (H1,208.466,(d)) (conjunction,2.05')\n(Saturn,116.821,(r)) (H4,296.989,(d)) (opposition,10.04')", 5]
['1916-09-06 20:29:28', "(Uranus,316.698,(r)) (H7,136.677,(d)) (opposition,1.30')", "(Moon,275.798,(r)) (H9,215.759,(d)) (sextile,2.40')", "(Neptune,123.888,(r)) (H1,304.058,(c)) (opposition,10.22')", '3', '4', "(Sun,163.884,(r)) (H1,343.849,(d)) (opposition,2.07')\n(Mean_Node,296.521,(r)) (H3,356.434,(c)) (sextile,5.23')", "(Mars,208.750,(r)) (H10,208.586,(c)) (conjunction,9.86')", '7', '8', '9', '10', '11', '12', "(Mars,208.750,(r)) (H4,88.675,(d)) (trine,4.49')", '14', '15', '16', 7]
['1916-09-06 19:09:04', "(Moon,275.001,(r)) (H4,35.072,(d)) (trine,4.26')", '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', "(Pluto,94.270,(r)) (H5,94.362,(d)) (conjunction,5.54')", '13', '14', '15', '16', 2]
['1916-09-06 22:51:28', "(Venus,118.154,(r)) (H7,178.225,(d)) (sextile,4.26')", "(Moon,277.209,(r)) (H10,277.328,(d)) (conjunction,7.09')", "(Moon,277.209,(r)) (H4,97.328,(d)) (opposition,7.09')", '3', "(Mars,208.815,(r)) (H12,298.881,(c)) (square,3.96')", '5', "(Saturn,116.881,(r)) (H1,26.883,(d)) (square,0.11')\n(Saturn,116.881,(r)) (H12,296.724,(c)) (opposition,9.44')", '7', '8', '9', '10', '11', '12', '13', '14', '15', "(Venus,118.154,(r)) (H4,28.180,(c)) (square,1.58')", 7]
['1916-09-06 22:35:11', '0', '1', '2', '3', "(Sun,163.969,(r)) (H12,343.978,(d)) (opposition,0.57')", '5', '6', '7', "(Uranus,316.695,(r)) (H5,136.746,(d)) (opposition,3.05')", '9', '10', '11', "(Mean_Node,296.516,(r)) (H4,116.344,(d)) (opposition,10.31')", '13', '14', "(Venus,118.144,(r)) (H4,28.126,(c)) (square,1.05')", '16', 4]
['1916-09-07 02:23:28', "(Uranus,316.690,(r)) (H4,136.801,(c)) (opposition,6.65')", '1', '2', '3', '4', "(Sun,164.122,(r)) (H10,344.102,(d)) (opposition,1.22')", '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', 2]
['1916-09-06 22:14:15', '0', '1', '2', '3', '4', "(Uranus,316.696,(r)) (H1,316.863,(c)) (conjunction,10.01')", '6', "(Mercury,190.613,(r)) (H5,130.540,(d)) (sextile,4.38')", '8', '9', '10', '11', '12', '13', '14', '15', '16', 2]
