['Time', '0: 2017-09-22', '1: 2024-10-25', '2: 2018-02-19', '3: 2021-04-06', '4: 2016-05-26', '5: 2022-01-01', 'Count']
['2014-03-24 00:15:19', "(Pluto,283.456,(r)) (H12,283.470,(d)) (conjunction,1')", '1', '2', '3', "(Sun,3.280,(r)) (H10,213.362,(c)) (150-quincunx,5')\n(H1,309.899,(r)) (Uranus,9.915,(c)) (sextile,1')", "(Pluto,283.456,(r)) (H10,223.400,(d)) (sextile,3')\n(Sun,3.280,(r)) (H1,303.293,(c)) (sextile,1')", 80]
['2014-03-24 01:31:43', "(Mars,204.376,(r)) (H12,294.392,(c)) (square,1')", '1', "(Pluto,283.457,(r)) (H4,58.526,(d)) (135-sesquisquare,4')\n(Mean_Node,209.922,(r)) (H7,149.932,(d)) (sextile,1')", "(H1,326.546,(r)) (Sun,356.559,(c)) (30-semisextile,1')", "(Uranus,11.941,(r)) (H10,236.872,(d)) (135-sesquisquare,4')\n(Pluto,283.457,(r)) (H1,328.428,(d)) (45-semisquare,2')\n(H8,172.782,(r)) (Mars,202.861,(c)) (30-semisextile,5')", "(Sun,3.332,(r)) (H1,333.292,(d)) (30-semisextile,2')", 68]
['2014-03-24 00:45:04', '0', "(H1,316.346,(r)) (Jupiter,91.417,(c)) (135-sesquisquare,4')", '2', "(Neptune,336.088,(r)) (H4,36.113,(c)) (sextile,2')", "(Sun,3.300,(r)) (H1,318.207,(d)) (45-semisquare,6')", "(Saturn,232.939,(r)) (H1,323.017,(d)) (square,5')\n(H10,223.186,(r)) (Neptune,343.239,(d)) (trine,3')", 76]
['2014-03-24 00:41:12', '0', '1', '2', '3', "(H10,222.206,(r)) (Pluto,282.157,(c)) (sextile,3')", "(Saturn,232.939,(r)) (H6,113.009,(d)) (trine,4')\n(H6,106.180,(r)) (Saturn,241.242,(d)) (135-sesquisquare,4')", 44]
['2014-03-24 01:49:43', "(H1,330.511,(r)) (Uranus,15.425,(d)) (45-semisquare,5')", "(Venus,316.819,(r)) (H3,16.735,(c)) (sextile,5')", '2', "(Mars,204.372,(r)) (H1,324.423,(c)) (trine,3')", "(Sun,3.345,(r)) (H12,303.408,(d)) (sextile,4')\n(Moon,273.378,(r)) (H12,303.408,(d)) (30-semisextile,2')\n(H8,177.085,(r)) (Mars,207.053,(d)) (30-semisextile,2')\n(H10,239.159,(r)) (Uranus,14.147,(d)) (135-sesquisquare,1')", "(H10,239.159,(r)) (Neptune,329.202,(c)) (square,3')", 93]
['2014-03-24 01:29:44', '0', "(H1,326.106,(r)) (Venus,326.278,(d)) (conjunction,10')\n(H3,22.177,(r)) (Uranus,22.349,(d)) (conjunction,10')", "(H7,146.106,(r)) (Mean_Node,206.054,(c)) (sextile,3')", "(Moon,273.183,(r)) (H12,303.211,(d)) (30-semisextile,2')", "(Mars,204.376,(r)) (H8,174.347,(d)) (30-semisextile,2')", '5', 75]
['2014-03-24 01:47:59', '0', "(H10,238.740,(r)) (Moon,283.654,(d)) (45-semisquare,5')", '2', "(Sun,3.343,(r)) (H8,183.289,(d)) (opposition,3')\n(Moon,273.361,(r)) (H8,183.289,(d)) (square,4')\n(Neptune,336.089,(r)) (H1,336.256,(d)) (conjunction,10')\n(H1,330.128,(r)) (Saturn,240.169,(d)) (square,2')\n(H8,176.670,(r)) (Sun,356.628,(c)) (opposition,3')", '4', "(Neptune,336.089,(r)) (H10,246.058,(d)) (square,2')", 121]
['2014-03-24 00:35:51', "(Uranus,11.939,(r)) (H12,281.901,(c)) (square,2')", "(Mean_Node,209.924,(r)) (H10,210.081,(c)) (conjunction,9')", "(Moon,272.657,(r)) (H7,137.690,(d)) (135-sesquisquare,2')\n(H7,134.348,(r)) (Jupiter,104.334,(d)) (30-semisextile,1')\n(Jupiter,100.939,(r)) (H7,131.015,(c)) (30-semisextile,5')\n(H7,134.348,(r)) (Sun,359.416,(c)) (135-sesquisquare,4')", "(Neptune,336.088,(r)) (H12,291.170,(d)) (45-semisquare,5')", "(H1,314.348,(r)) (Uranus,14.292,(d)) (sextile,3')", "(H6,104.986,(r)) (Mercury,344.919,(d)) (trine,4')", 90]
['2014-03-24 00:34:47', '0', "(H10,220.578,(r)) (Mean_Node,220.498,(d)) (conjunction,5')\n(Mean_Node,209.924,(r)) (H10,209.801,(c)) (conjunction,7')", "(H3,8.296,(r)) (Uranus,8.172,(c)) (conjunction,7')\n(H4,40.578,(r)) (Pluto,280.646,(c)) (trine,4')", "(Moon,272.647,(r)) (H4,47.560,(d)) (135-sesquisquare,5')", '4', "(Sun,3.293,(r)) (H10,228.285,(d)) (135-sesquisquare,0')\n(Saturn,232.939,(r)) (H6,97.873,(c)) (135-sesquisquare,4')\n(H10,220.578,(r)) (Sun,355.577,(c)) (135-sesquisquare,0')", 100]
['2014-03-24 00:29:20', '0', "(H10,219.182,(r)) (Moon,264.271,(c)) (45-semisquare,5')", '2', "(H8,157.962,(r)) (Pluto,277.896,(c)) (trine,4')", "(H8,157.962,(r)) (Neptune,338.124,(d)) (opposition,10')\n(Neptune,336.088,(r)) (H8,155.949,(c)) (opposition,8')\n(H8,157.962,(r)) (Mars,203.051,(c)) (45-semisquare,5')", '5', 72]
['2014-03-24 01:26:47', "(Uranus,11.941,(r)) (H10,236.939,(d)) (135-sesquisquare,0')\n(Pluto,283.457,(r)) (H1,328.489,(d)) (45-semisquare,2')\n(H10,233.580,(r)) (Uranus,8.638,(c)) (135-sesquisquare,3')", "(Jupiter,100.941,(r)) (H3,10.929,(c)) (square,1')", "(H7,145.462,(r)) (Pluto,280.448,(c)) (135-sesquisquare,1')", "(H1,325.462,(r)) (Moon,280.387,(d)) (45-semisquare,5')\n(Venus,316.803,(r)) (H4,46.725,(c)) (square,5')\n(Mean_Node,209.923,(r)) (H8,165.014,(c)) (45-semisquare,5')", "(Mars,204.377,(r)) (H12,294.453,(c)) (square,5')", '5', 94]
['2014-03-24 00:47:20', '0', "(Jupiter,100.939,(r)) (H1,325.940,(d)) (135-sesquisquare,0')\n(H10,223.759,(r)) (Sun,13.709,(d)) (150-quincunx,3')", "(Mercury,337.623,(r)) (H3,7.573,(c)) (30-semisextile,3')\n(Pluto,283.456,(r)) (H7,133.499,(c)) (150-quincunx,3')\n(H4,43.759,(r)) (Venus,313.735,(c)) (square,1')", "(Saturn,232.939,(r)) (H1,322.877,(d)) (square,4')", "(H8,162.216,(r)) (Pluto,282.135,(c)) (trine,5')", "(Mars,204.384,(r)) (H6,114.378,(d)) (square,0')", 102]
['2014-03-24 01:34:47', '0', '1', '2', "(Sun,3.334,(r)) (H1,333.328,(d)) (30-semisextile,0')", "(H1,327.220,(r)) (Mars,207.128,(d)) (trine,6')\n(H10,235.536,(r)) (Saturn,235.621,(d)) (conjunction,5')", '5', 51]
['2014-03-24 00:38:47', "(Uranus,11.939,(r)) (H1,312.000,(c)) (sextile,4')", '1', "(Sun,3.296,(r)) (H7,138.329,(d)) (135-sesquisquare,2')\n(Mercury,337.615,(r)) (H4,37.666,(c)) (sextile,3')", "(Venus,316.770,(r)) (H8,166.759,(d)) (150-quincunx,1')\n(H8,160.196,(r)) (Sun,10.251,(d)) (150-quincunx,3')\n(H8,160.196,(r)) (Moon,280.195,(d)) (trine,0')", '4', "(H1,314.984,(r)) (Mercury,344.903,(d)) (30-semisextile,5')\n(H6,105.643,(r)) (Mercury,330.576,(c)) (135-sesquisquare,4')", 88]
['2014-03-24 00:49:59', '0', "(Mercury,337.625,(r)) (H3,22.655,(d)) (45-semisquare,2')\n(H1,317.419,(r)) (Mercury,347.443,(d)) (30-semisextile,1')", "(Sun,3.304,(r)) (H4,48.285,(d)) (45-semisquare,1')\n(H4,44.431,(r)) (Jupiter,104.345,(d)) (sextile,5')\n(H7,137.419,(r)) (Pluto,287.499,(d)) (150-quincunx,5')\n(H4,44.431,(r)) (Sun,359.455,(c)) (45-semisquare,1')", "(Mars,204.384,(r)) (H12,294.325,(d)) (square,4')\n(Uranus,11.940,(r)) (H12,281.951,(c)) (square,1')", "(Mean_Node,209.924,(r)) (H8,164.877,(d)) (45-semisquare,3')", '5', 80]
