Row 92: {'time': '2000-03-11 06:35:36', 'p_a_conj': 6, 'p_a_maj': 24, 'p_a_allm': 30, 'p_a_min': 31, 'e': 2, 'all_conj': 6}
Row 93: {'time': '2000-03-11 08:47:36', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 35, 'e': 0, 'all_conj': 6}
Row 94: {'time': '2000-03-11 08:06:32', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_allm': 20, 'p_a_min': 29, 'e': 3, 'all_conj': 7}
Row 95: {'time': '2000-03-11 11:59:36', 'p_a_conj': 10, 'p_a_maj': 18, 'p_a_allm': 28, 'p_a_min': 28, 'e': 0, 'all_conj': 10}
Row 96: {'time': '2000-03-11 08:11:36', 'p_a_conj': 11, 'p_a_maj': 18, 'p_a_allm': 29, 'p_a_min': 35, 'e': 0, 'all_conj': 11}
Row 97: {'time': '2000-03-11 08:37:44', 'p_a_conj': 8, 'p_a_maj': 22, 'p_a_allm': 30, 'p_a_min': 29, 'e': 2, 'all_conj': 8}
Row 98: {'time': '2000-03-11 14:10:40', 'p_a_conj': 4, 'p_a_maj': 28, 'p_a_allm': 32, 'p_a_min': 34, 'e': 0, 'all_conj': 4}
Row 99: {'time': '2000-03-11 13:44:15', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_allm': 30, 'p_a_min': 23, 'e': 5, 'all_conj': 7}
Row 100: {'time': '2000-03-11 13:54:47', 'p_a_conj': 6, 'p_a_maj': 26, 'p_a_allm': 32, 'p_a_min': 37, 'e': 1, 'all_conj': 6}
Row 101: {'time': '2000-03-11 12:05:19', 'p_a_conj': 9, 'p_a_maj': 18, 'p_a_allm': 27, 'p_a_min': 27, 'e': 1, 'all_conj': 9}
Row 102: {'time': '2000-03-11 06:04:56', 'p_a_conj': 3, 'p_a_maj': 18, 'p_a_allm': 21, 'p_a_min': 29, 'e': 3, 'all_conj': 3}
Row 103: {'time': '2000-03-11 15:07:04', 'p_a_conj': 7, 'p_a_maj': 19, 'p_a_allm': 26, 'p_a_min': 34, 'e': 1, 'all_conj': 7}
Row 104: {'time': '2000-03-11 08:52:24', 'p_a_conj': 6, 'p_a_maj': 28, 'p_a_allm': 34, 'p_a_min': 23, 'e': 0, 'all_conj': 6}
Row 105: {'time': '2000-03-11 13:10:07', 'p_a_conj': 13, 'p_a_maj': 25, 'p_a_allm': 38, 'p_a_min': 30, 'e': 0, 'all_conj': 13}
Row 106: {'time': '2000-03-11 09:31:52', 'p_a_conj': 9, 'p_a_maj': 22, 'p_a_allm': 31, 'p_a_min': 28, 'e': 2, 'all_conj': 9}
Row 107: {'time': '2000-03-11 14:30:48', 'p_a_conj': 9, 'p_a_maj': 15, 'p_a_allm': 24, 'p_a_min': 33, 'e': 1, 'all_conj': 9}
