['Time', '0: 2008-09-05', '1: 2009-03-19', '2: 2010-09-15', '3: 2012-03-06', '4: 2012-12-12', '5: 2013-12-12', '6: 2014-03-24', '7: 2015-05-27', '8: 2016-05-27', '9: 2017-09-15', '10: 2017-09-22', '11: 2018-02-19', '12: 2019-05-22', '13: 2021-04-06', '14: 2021-07-10', '15: 2022-05-25', 'Count']
['2000-03-11 06:20:16', '0', '1', '2', '3', '4', '5', '6', '7', "(H10,290.648,(r)) (Neptune,290.616,(c)) (conjunction,1.89')", "(Jupiter,34.700,(r)) (H10,274.649,(c)) (trine,3.02')", '10', '11', '12', '13', '14', '15', 2]
['2000-03-11 06:11:20', '0', '1', "(Venus,327.250,(r)) (H1,27.194,(d)) (sextile,3.38')", '3', "(Neptune,305.681,(r)) (H9,245.759,(c)) (sextile,4.67')", '5', "(H4,108.550,(r)) (Mean_Node,108.394,(c)) (conjunction,9.37')", "(Mean_Node,121.347,(r)) (H1,31.271,(d)) (square,4.52')", "(H8,226.852,(r)) (Mean_Node,136.810,(d)) (square,2.51')", '9', '10', "(Mercury,333.464,(r)) (H3,93.406,(d)) (trine,3.46')", "(H1,17.999,(r)) (Neptune,287.937,(c)) (square,3.75')", '13', '14', '15', 7]
['2000-03-11 06:09:44', '0', '1', '2', '3', '4', '5', "(Mean_Node,121.347,(r)) (H4,121.290,(d)) (conjunction,3.38')", '7', '8', '9', '10', '11', '12', '13', '14', '15', 1]
['2000-03-11 05:41:12', '0', "(H3,70.354,(r)) (Uranus,310.376,(c)) (trine,1.30')", '2', '3', '4', '5', '6', '7', '8', '9', '10', "(Moon,54.121,(r)) (H3,54.029,(c)) (conjunction,5.51')", '12', '13', '14', "(Moon,54.121,(r)) (POF,54.176,(c)) (conjunction,3.32')", 3]
['2000-03-11 07:11:04', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', "(Mars,21.301,(r)) (H12,21.225,(d)) (conjunction,4.57')", '11', '12', '13', '14', '15', 1]
['2000-03-11 06:38:56', '0', '1', '2', "(Jupiter,34.702,(r)) (H1,34.554,(d)) (conjunction,8.86')\n(H1,24.147,(r)) (Jupiter,24.010,(c)) (conjunction,8.23')", '4', '5', '6', '7', '8', '9', '10', '11', '12', "(H7,204.147,(r)) (Saturn,24.308,(c)) (opposition,9.61')", "(H1,24.147,(r)) (Saturn,24.072,(c)) (conjunction,4.54')", "(Jupiter,34.702,(r)) (H10,274.701,(c)) (trine,0.05')", 5]
['2000-03-11 06:15:12', '0', '1', '2', '3', '4', '5', '6', '7', '8', "(H3,78.122,(r)) (Mean_Node,138.104,(d)) (sextile,1.11')\n(Mercury,333.463,(r)) (H10,273.483,(c)) (sextile,1.19')\n(H1,18.863,(r)) (Jupiter,18.928,(c)) (conjunction,3.94')", '10', '11', '12', '13', '14', '15', 3]
['2000-03-11 06:50:47', '0', "(Jupiter,34.704,(r)) (H7,214.600,(d)) (opposition,6.22')\n(H7,206.779,(r)) (Jupiter,26.679,(c)) (opposition,6.03')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', "(Saturn,43.319,(r)) (H1,43.339,(d)) (conjunction,1.19')", '13', "(Uranus,318.697,(r)) (H10,318.577,(d)) (conjunction,7.21')\n(POF,90.569,(r)) (Pluto,270.608,(d)) (opposition,2.35')", "(H10,297.895,(r)) (Uranus,297.925,(c)) (conjunction,1.83')", 6]
['2000-03-11 07:57:51', '0', "(Mercury,333.436,(r)) (H3,93.523,(c)) (trine,5.23')", '2', '3', "(Venus,327.342,(r)) (H10,327.162,(d)) (conjunction,10.75')", '5', "(H3,101.797,(r)) (Venus,341.887,(d)) (trine,5.41')", "(Venus,327.342,(r)) (H8,237.391,(c)) (square,2.93')\n(H1,41.509,(r)) (Moon,41.392,(c)) (conjunction,6.99')", "(Mean_Node,121.343,(r)) (POF,121.430,(d)) (conjunction,5.26')\n(POF,105.904,(r)) (Mean_Node,106.043,(c)) (conjunction,8.35')", '9', '10', '11', '12', '13', '14', "(H1,41.509,(r)) (Uranus,341.595,(d)) (sextile,5.18')", 8]
['2000-03-11 05:43:44', '0', '1', "(Mean_Node,121.348,(r)) (H3,61.425,(c)) (sextile,4.65')", '3', '4', '5', '6', "(Moon,54.145,(r)) (H8,234.128,(d)) (opposition,1.05')", '8', "(Venus,327.227,(r)) (H1,27.178,(d)) (sextile,2.94')", '10', '11', '12', "(H4,102.117,(r)) (Mean_Node,102.109,(c)) (conjunction,0.48')", '14', '15', 4]
['2000-03-11 07:16:47', '0', '1', '2', '3', '4', "(Mars,21.304,(r)) (H10,291.224,(c)) (square,4.80')", "(Sun,351.025,(r)) (H4,110.966,(c)) (trine,3.58')", '7', '8', '9', '10', '11', '12', '13', "(Pluto,252.897,(r)) (H9,253.037,(c)) (conjunction,8.40')", '15', 3]
['2000-03-11 06:01:51', '0', '1', '2', '3', "(Jupiter,34.697,(r)) (H10,274.720,(c)) (trine,1.41')", '5', '6', '7', "(Mean_Node,121.347,(r)) (H10,301.457,(d)) (opposition,6.64')\n(H10,286.336,(r)) (Mean_Node,106.443,(c)) (opposition,6.42')", '9', '10', '11', '12', "(H4,106.336,(r)) (Neptune,286.281,(c)) (opposition,3.30')", '14', '15', 4]
['2000-03-11 07:34:31', '0', '1', "(Venus,327.322,(r)) (H1,27.309,(c)) (sextile,0.75')\n(H10,308.522,(r)) (Uranus,308.679,(c)) (conjunction,9.42')", '3', '4', '5', '6', '7', '8', "(H1,36.412,(r)) (Uranus,336.485,(d)) (sextile,4.40')", "(Mars,21.314,(r)) (H1,21.180,(c)) (conjunction,8.01')", '11', "(H10,308.522,(r)) (Mars,38.517,(d)) (square,0.29')", '13', '14', "(Moon,55.222,(r)) (H1,55.370,(d)) (conjunction,8.85')", 6]
['2000-03-11 07:09:51', '0', '1', '2', "(H9,270.633,(r)) (Uranus,330.691,(d)) (sextile,3.48')", '4', "(H1,30.992,(r)) (Saturn,30.987,(c)) (conjunction,0.27')", "(Uranus,318.698,(r)) (H7,198.747,(c)) (trine,2.99')", '7', '8', '9', '10', "(Uranus,318.698,(r)) (POF,78.755,(c)) (trine,3.47')", '12', '13', '14', '15', 4]
['2000-03-11 06:23:28', '0', "(H3,80.009,(r)) (Pluto,259.978,(d)) (opposition,1.86')", '2', '3', '4', "(POF,84.249,(r)) (Pluto,264.217,(d)) (opposition,1.94')", '6', "(Neptune,305.682,(r)) (H4,125.753,(d)) (opposition,4.29')\n(H4,111.402,(r)) (Neptune,291.520,(c)) (opposition,7.09')", '8', '9', '10', '11', '12', '13', '14', '15', 4]
['2000-03-11 06:13:35', '0', '1', "(Venus,327.252,(r)) (H3,87.204,(d)) (trine,2.88')", '3', "(H9,257.757,(r)) (Neptune,317.828,(d)) (sextile,4.24')", '5', '6', '7', '8', "(Mercury,333.463,(r)) (H3,93.540,(d)) (trine,4.57')", '10', "(H7,198.506,(r)) (Mean_Node,138.515,(d)) (sextile,0.56')", '12', '13', '14', '15', 4]
['2000-03-11 05:32:56', '0', "(Mean_Node,121.348,(r)) (H7,181.411,(c)) (sextile,3.79')", "(Uranus,318.694,(r)) (H1,18.656,(d)) (sextile,2.29')", '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 2]
['2000-03-11 06:21:52', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 0]
['2000-03-11 07:08:39', '0', '1', '2', "(H1,30.727,(r)) (Uranus,330.683,(d)) (sextile,2.63')", '4', '5', '6', '7', '8', "(H10,302.198,(r)) (Uranus,302.171,(c)) (conjunction,1.62')", "(H10,302.198,(r)) (Uranus,302.153,(c)) (conjunction,2.69')", '11', '12', '13', "(H9,270.357,(r)) (Pluto,270.322,(d)) (conjunction,2.07')", '15', 4]
['2000-03-11 06:25:12', '0', '1', '2', '3', "(H1,21.093,(r)) (Mercury,321.035,(c)) (sextile,3.49')", '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 1]
['2000-03-11 06:44:39', '0', '1', "(Jupiter,34.703,(r)) (H1,34.542,(d)) (conjunction,9.68')\n(H1,25.420,(r)) (Jupiter,25.340,(c)) (conjunction,4.80')", '3', '4', '5', '6', '7', '8', '9', "(Saturn,43.319,(r)) (H10,313.262,(d)) (square,3.40')", '11', '12', '13', '14', '15', 3]
['2000-03-11 06:43:20', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', "(Pluto,252.897,(r)) (POF,73.063,(c)) (opposition,9.96')", '11', "(POF,88.846,(r)) (Pluto,268.797,(d)) (opposition,2.97')\n(H10,296.111,(r)) (Saturn,26.026,(c)) (square,5.09')", "(Saturn,43.319,(r)) (H7,223.319,(d)) (opposition,0.02')", '14', '15', 4]
['2000-03-11 06:52:32', '0', "(H3,86.653,(r)) (Jupiter,26.683,(c)) (sextile,1.80')", '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 1]
['2000-03-11 07:01:43', '0', '1', "(H1,29.197,(r)) (Uranus,329.173,(d)) (sextile,1.45')", "(Uranus,318.697,(r)) (H1,18.729,(c)) (sextile,1.92')", '4', '5', '6', '7', "(Saturn,43.320,(r)) (H1,43.165,(d)) (conjunction,9.30')", '9', '10', '11', "(H10,300.522,(r)) (Uranus,300.643,(c)) (conjunction,7.24')", '13', '14', '15', 4]
['2000-03-11 05:30:32', '0', '1', '2', "(Uranus,318.694,(r)) (H9,258.685,(d)) (sextile,0.55')", '4', "(H1,8.854,(r)) (Mars,8.824,(c)) (conjunction,1.81')", '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', 2]
