Row 32: {'time': '2000-03-11 06:26:47', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 13, 'all_conj': 0, 'all_maj': 4, 'a_p_p_a_conj': 0, 'all_m': 4}
Row 33: {'time': '2000-03-11 06:48:07', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 12, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 2, 'all_m': 4}
Row 34: {'time': '2000-03-11 06:20:16', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 14, 'all_conj': 1, 'all_maj': 1, 'a_p_p_a_conj': 1, 'all_m': 2}
Row 35: {'time': '2000-03-11 06:11:20', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 9, 'all_conj': 1, 'all_maj': 6, 'a_p_p_a_conj': 1, 'all_m': 7}
Row 36: {'time': '2000-03-11 06:09:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 15, 'all_conj': 1, 'all_maj': 0, 'a_p_p_a_conj': 1, 'all_m': 1}
Row 37: {'time': '2000-03-11 05:41:12', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 13, 'all_conj': 1, 'all_maj': 1, 'a_p_p_a_conj': 0, 'all_m': 2}
Row 38: {'time': '2000-03-11 07:11:04', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 15, 'all_conj': 1, 'all_maj': 0, 'a_p_p_a_conj': 0, 'all_m': 1}
Row 39: {'time': '2000-03-11 06:38:56', 'p_a_conj': 3, 'p_a_maj': 0, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 12, 'all_conj': 4, 'all_maj': 1, 'a_p_p_a_conj': 4, 'all_m': 5}
Row 40: {'time': '2000-03-11 06:15:12', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 15, 'all_conj': 1, 'all_maj': 2, 'a_p_p_a_conj': 1, 'all_m': 3}
Row 41: {'time': '2000-03-11 06:50:47', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 0, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 12, 'all_conj': 5, 'all_maj': 0, 'a_p_p_a_conj': 5, 'all_m': 5}
Row 42: {'time': '2000-03-11 07:57:51', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 10, 'all_conj': 2, 'all_maj': 4, 'a_p_p_a_conj': 2, 'all_m': 6}
Row 43: {'time': '2000-03-11 05:43:44', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 12, 'all_conj': 2, 'all_maj': 2, 'a_p_p_a_conj': 1, 'all_m': 4}
Row 44: {'time': '2000-03-11 07:16:47', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 13, 'all_conj': 1, 'all_maj': 2, 'a_p_p_a_conj': 0, 'all_m': 3}
Row 45: {'time': '2000-03-11 06:01:51', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_allm': 2, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 13, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 3, 'all_m': 4}
Row 46: {'time': '2000-03-11 07:34:31', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'e': 11, 'all_conj': 3, 'all_maj': 3, 'a_p_p_a_conj': 3, 'all_m': 6}
