Row 32: {'time': '1929-07-28 18:08:08', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 2, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 14, 'all_conj': 4, 'all_maj': 3, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 7}
Row 33: {'time': '1929-07-28 14:55:44', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 16, 'all_conj': 2, 'all_maj': 2, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 4}
Row 34: {'time': '1929-07-28 18:21:36', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 2, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_allm': 3, 'h_p_min': 0, 'e': 15, 'all_conj': 1, 'all_maj': 4, 'a_p_p_a_conj': 0, 'a_p_h_p_all_m': 5}
Row 35: {'time': '1929-07-28 06:46:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 0, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 17, 'all_conj': 3, 'all_maj': 1, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 4}
Row 36: {'time': '1929-07-28 01:29:04', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 0, 'e': 14, 'all_conj': 5, 'all_maj': 1, 'a_p_p_a_conj': 3, 'a_p_h_p_all_m': 6}
Row 37: {'time': '1929-07-28 06:54:39', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 1, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 15, 'all_conj': 4, 'all_maj': 2, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 6}
Row 38: {'time': '1929-07-28 11:06:00', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 0, 'e': 13, 'all_conj': 6, 'all_maj': 2, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 8}
Row 39: {'time': '1929-07-28 05:43:36', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'e': 15, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 5}
Row 40: {'time': '1929-07-28 01:14:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 4, 'a_p_maj': 0, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 15, 'all_conj': 5, 'all_maj': 0, 'a_p_p_a_conj': 4, 'a_p_h_p_all_m': 5}
Row 41: {'time': '1929-07-28 03:30:08', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 19, 'all_conj': 0, 'all_maj': 1, 'a_p_p_a_conj': 0, 'a_p_h_p_all_m': 1}
Row 42: {'time': '1929-07-28 12:50:39', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_allm': 2, 'h_p_min': 0, 'e': 16, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 5}
Row 43: {'time': '1929-07-27 20:52:48', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 17, 'all_conj': 2, 'all_maj': 1, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 3}
Row 44: {'time': '1929-07-28 19:55:20', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 15, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 5}
Row 45: {'time': '1929-07-28 07:05:43', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'e': 17, 'all_conj': 3, 'all_maj': 0, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 3}
Row 46: {'time': '1929-07-28 03:34:31', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_allm': 3, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'e': 16, 'all_conj': 3, 'all_maj': 2, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 5}
Row 47: {'time': '1929-07-28 06:30:32', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 2, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'e': 15, 'all_conj': 2, 'all_maj': 3, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 5}
Row 48: {'time': '1929-07-28 14:12:24', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 16, 'all_conj': 1, 'all_maj': 3, 'a_p_p_a_conj': 1, 'a_p_h_p_all_m': 4}
Row 49: {'time': '1929-07-28 07:42:23', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 2, 'a_p_maj': 0, 'a_p_allm': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'e': 18, 'all_conj': 2, 'all_maj': 0, 'a_p_p_a_conj': 2, 'a_p_h_p_all_m': 2}
