['Time', '0: 1949-08-15', '1: 1952-01-21', '2: 1953-04-18', '3: 1953-06-25', '4: 1953-09-12', '5: 1956-08-23', '6: 1957-08-03', '7: 1957-11-27', '8: 1958-11-04', '9: 1960-11-25', '10: 1963-08-07', '11: 1963-08-09', '12: 1963-11-22', '13: 1964-06-15', '14: 1957-11-15', '15: 1968-03-15', '16: 1968-06-05', '17: 1968-10-20', '18: 1975-03-15', '19: 1994-05-20', 'Count']
['1929-07-28 18:08:08', '0', '1', "(Moon,25.402,(r)) (H7,25.405,(c)) (conjunction,0.18')", "(Moon,25.402,(r)) (H7,25.261,(c)) (conjunction,8.46')", "(Mercury,122.370,(r)) (H7,62.374,(d)) (sextile,0.26')", '5', '6', "(Venus,81.754,(r)) (H1,201.835,(c)) (trine,4.86')", '8', "(Moon,25.402,(r)) (H5,25.427,(d)) (conjunction,1.52')", '10', '11', '12', '13', '14', '15', '16', '17', "(Uranus,11.329,(r)) (H4,11.452,(d)) (conjunction,7.38')\n(Sun,125.144,(r)) (H8,35.074,(c)) (square,4.21')", '19', 7]
['1929-07-28 14:55:44', '0', '1', "(Mean_Node,47.219,(r)) (H7,347.285,(c)) (sextile,3.98')", "(Mean_Node,47.219,(r)) (H7,347.140,(c)) (sextile,4.72')", '4', "(Mars,164.733,(r)) (H1,164.678,(c)) (conjunction,3.31')", '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', "(Neptune,150.135,(r)) (H7,330.298,(c)) (opposition,9.78')", '19', 4]
['1929-07-28 18:21:36', '0', '1', '2', "(Venus,81.764,(r)) (H5,21.680,(d)) (sextile,5.01')", "(Sun,125.153,(r)) (H7,65.076,(d)) (sextile,4.65')", '5', "(Uranus,11.329,(r)) (H8,101.395,(d)) (square,3.98')", '7', '8', '9', '10', '11', "(Mean_Node,47.211,(r)) (H8,47.388,(c)) (conjunction,10.60')", '13', '14', '15', '16', '17', '18', "(Sun,125.153,(r)) (H10,215.098,(d)) (square,3.34')", 5]
['1929-07-28 06:46:56', '0', '1', '2', '3', '4', '5', "(Sun,124.692,(r)) (H10,304.825,(c)) (opposition,7.95')", '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', "(Moon,19.159,(r)) (H5,139.242,(c)) (trine,5.01')", "(Sun,124.692,(r)) (H7,304.827,(d)) (opposition,8.06')\n(Pluto,108.365,(r)) (H4,108.289,(c)) (conjunction,4.57')", '19', 4]
['1929-07-28 01:29:04', '0', '1', '2', "(Mercury,120.906,(r)) (H7,121.004,(c)) (conjunction,5.92')", "(Mercury,120.906,(r)) (H7,120.742,(c)) (conjunction,9.79')", '5', '6', '7', '8', "(Jupiter,69.444,(r)) (H5,69.266,(c)) (conjunction,10.72')", "(Mean_Node,47.248,(r)) (H4,107.198,(d)) (sextile,3.02')", '11', '12', "(Pluto,108.360,(r)) (H1,288.525,(c)) (opposition,9.93')", "(Venus,80.997,(r)) (H9,260.888,(d)) (opposition,6.57')", '15', '16', '17', '18', '19', 6]
['1929-07-28 06:54:39', '0', '1', '2', "(Sun,124.697,(r)) (H7,244.606,(c)) (trine,5.47')", '4', '5', '6', '7', '8', '9', "(Uranus,11.333,(r)) (H4,191.167,(d)) (opposition,9.97')", "(Uranus,11.333,(r)) (H4,191.173,(d)) (opposition,9.62')\n(Mean_Node,47.236,(r)) (H8,317.156,(d)) (square,4.82')", "(Uranus,11.333,(r)) (H4,191.480,(d)) (opposition,8.80')", '13', '14', '15', '16', "(Mercury,121.383,(r)) (H7,301.381,(d)) (opposition,0.09')", '18', '19', 6]
['1929-07-28 11:06:00', "(Moon,21.525,(r)) (H10,21.608,(c)) (conjunction,4.95')", '1', '2', '3', "(Mercury,121.751,(r)) (H7,301.821,(c)) (opposition,4.19')", '5', '6', "(Jupiter,69.516,(r)) (H4,249.343,(d)) (opposition,10.38')", '8', "(Mars,164.635,(r)) (H1,164.657,(d)) (conjunction,1.35')", "(Pluto,108.370,(r)) (H5,288.487,(d)) (opposition,7.05')", "(Mars,164.635,(r)) (H4,254.588,(d)) (square,2.79')\n(Pluto,108.370,(r)) (H5,288.492,(d)) (opposition,7.34')", '12', '13', '14', "(Mercury,121.751,(r)) (H10,1.803,(c)) (trine,3.11')", '16', '17', '18', '19', 8]
['1929-07-28 05:43:36', "(Uranus,11.334,(r)) (H9,311.393,(d)) (sextile,3.55')", '1', "(Moon,18.581,(r)) (H5,138.576,(c)) (trine,0.35')", '3', '4', "(Mars,164.496,(r)) (H10,344.360,(d)) (opposition,8.18')", '6', '7', '8', '9', '10', '11', '12', '13', '14', "(Moon,18.581,(r)) (H1,18.660,(c)) (conjunction,4.69')", "(Pluto,108.364,(r)) (H1,18.288,(c)) (square,4.58')", '17', '18', '19', 5]
['1929-07-28 01:14:23', "(Jupiter,69.442,(r)) (H9,249.519,(d)) (opposition,4.60')", '1', '2', '3', '4', "(Mean_Node,47.249,(r)) (H10,227.209,(c)) (opposition,2.40')", '6', "(Moon,16.135,(r)) (H1,16.169,(d)) (conjunction,2.04')", '8', '9', '10', '11', '12', '13', "(Moon,16.135,(r)) (H1,16.114,(d)) (conjunction,1.25')", '15', "(Pluto,108.360,(r)) (H10,288.209,(d)) (opposition,9.01')", '17', '18', '19', 5]
['1929-07-28 03:30:08', '0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', "(Venus,81.089,(r)) (H10,321.144,(d)) (trine,3.28')", '16', '17', '18', '19', 1]
