Row 63: {'time': '1813-05-22 14:01:52', 'p_a_conj': 6, 'p_a_maj': 7, 'p_a_allm': 13, 'p_a_min': 18, 'e': 0, 'all_conj': 6}
Row 64: {'time': '1813-05-22 11:19:36', 'p_a_conj': 2, 'p_a_maj': 10, 'p_a_allm': 12, 'p_a_min': 16, 'e': 0, 'all_conj': 2}
Row 65: {'time': '1813-05-22 01:42:31', 'p_a_conj': 1, 'p_a_maj': 9, 'p_a_allm': 10, 'p_a_min': 18, 'e': 0, 'all_conj': 1}
Row 66: {'time': '1813-05-22 02:11:20', 'p_a_conj': 4, 'p_a_maj': 14, 'p_a_allm': 18, 'p_a_min': 12, 'e': 0, 'all_conj': 4}
Row 67: {'time': '1813-05-22 16:44:39', 'p_a_conj': 7, 'p_a_maj': 13, 'p_a_allm': 20, 'p_a_min': 15, 'e': 0, 'all_conj': 7}
Row 68: {'time': '1813-05-22 02:53:20', 'p_a_conj': 3, 'p_a_maj': 17, 'p_a_allm': 20, 'p_a_min': 16, 'e': 0, 'all_conj': 3}
Row 69: {'time': '1813-05-22 08:18:32', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_allm': 14, 'p_a_min': 22, 'e': 0, 'all_conj': 2}
Row 70: {'time': '1813-05-22 15:05:11', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_allm': 14, 'p_a_min': 12, 'e': 1, 'all_conj': 3}
Row 71: {'time': '1813-05-22 14:34:56', 'p_a_conj': 4, 'p_a_maj': 10, 'p_a_allm': 14, 'p_a_min': 14, 'e': 2, 'all_conj': 4}
Row 72: {'time': '1813-05-22 16:47:19', 'p_a_conj': 7, 'p_a_maj': 10, 'p_a_allm': 17, 'p_a_min': 16, 'e': 0, 'all_conj': 7}
Row 73: {'time': '1813-05-22 04:24:55', 'p_a_conj': 2, 'p_a_maj': 18, 'p_a_allm': 20, 'p_a_min': 19, 'e': 1, 'all_conj': 2}
Row 74: {'time': '1813-05-22 00:42:00', 'p_a_conj': 6, 'p_a_maj': 10, 'p_a_allm': 16, 'p_a_min': 9, 'e': 0, 'all_conj': 6}
Row 75: {'time': '1813-05-22 19:45:19', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_allm': 14, 'p_a_min': 19, 'e': 0, 'all_conj': 3}
Row 76: {'time': '1813-05-22 15:42:24', 'p_a_conj': 3, 'p_a_maj': 8, 'p_a_allm': 11, 'p_a_min': 10, 'e': 1, 'all_conj': 3}
Row 77: {'time': '1813-05-22 04:31:20', 'p_a_conj': 5, 'p_a_maj': 10, 'p_a_allm': 15, 'p_a_min': 8, 'e': 0, 'all_conj': 5}
Row 78: {'time': '1813-05-22 16:50:47', 'p_a_conj': 3, 'p_a_maj': 12, 'p_a_allm': 15, 'p_a_min': 15, 'e': 0, 'all_conj': 3}
Row 79: {'time': '1813-05-22 07:18:00', 'p_a_conj': 2, 'p_a_maj': 12, 'p_a_allm': 14, 'p_a_min': 23, 'e': 0, 'all_conj': 2}
Row 80: {'time': '1813-05-22 06:50:31', 'p_a_conj': 3, 'p_a_maj': 17, 'p_a_allm': 20, 'p_a_min': 18, 'e': 0, 'all_conj': 3}
Row 81: {'time': '1813-05-22 01:57:04', 'p_a_conj': 4, 'p_a_maj': 11, 'p_a_allm': 15, 'p_a_min': 15, 'e': 0, 'all_conj': 4}
Row 82: {'time': '1813-05-22 16:49:27', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_allm': 17, 'p_a_min': 17, 'e': 0, 'all_conj': 5}
Row 83: {'time': '1813-05-22 04:50:39', 'p_a_conj': 4, 'p_a_maj': 8, 'p_a_allm': 12, 'p_a_min': 22, 'e': 0, 'all_conj': 4}
Row 84: {'time': '1813-05-22 13:23:43', 'p_a_conj': 3, 'p_a_maj': 11, 'p_a_allm': 14, 'p_a_min': 25, 'e': 0, 'all_conj': 3}
Row 85: {'time': '1813-05-22 03:59:12', 'p_a_conj': 3, 'p_a_maj': 15, 'p_a_allm': 18, 'p_a_min': 17, 'e': 1, 'all_conj': 3}
Row 86: {'time': '1813-05-21 23:57:12', 'p_a_conj': 5, 'p_a_maj': 7, 'p_a_allm': 12, 'p_a_min': 18, 'e': 0, 'all_conj': 5}
Row 87: {'time': '1813-05-22 22:12:47', 'p_a_conj': 5, 'p_a_maj': 14, 'p_a_allm': 19, 'p_a_min': 15, 'e': 0, 'all_conj': 5}
Row 88: {'time': '1813-05-22 20:24:31', 'p_a_conj': 2, 'p_a_maj': 10, 'p_a_allm': 12, 'p_a_min': 13, 'e': 0, 'all_conj': 2}
Row 89: {'time': '1813-05-22 15:57:12', 'p_a_conj': 2, 'p_a_maj': 13, 'p_a_allm': 15, 'p_a_min': 20, 'e': 0, 'all_conj': 2}
Row 90: {'time': '1813-05-22 02:19:44', 'p_a_conj': 5, 'p_a_maj': 12, 'p_a_allm': 17, 'p_a_min': 16, 'e': 0, 'all_conj': 5}
