Row 88: {'time': '1929-07-27 23:30:40', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_allm': 24, 'p_a_min': 32, 'e': 0, 'all_conj': 6}
Row 89: {'time': '1929-07-28 19:38:07', 'p_a_conj': 1, 'p_a_maj': 22, 'p_a_allm': 23, 'p_a_min': 18, 'e': 2, 'all_conj': 1}
Row 90: {'time': '1929-07-28 09:41:28', 'p_a_conj': 10, 'p_a_maj': 25, 'p_a_allm': 35, 'p_a_min': 36, 'e': 0, 'all_conj': 10}
Row 91: {'time': '1929-07-27 22:55:20', 'p_a_conj': 7, 'p_a_maj': 16, 'p_a_allm': 23, 'p_a_min': 36, 'e': 0, 'all_conj': 7}
Row 92: {'time': '1929-07-28 06:18:16', 'p_a_conj': 6, 'p_a_maj': 26, 'p_a_allm': 32, 'p_a_min': 30, 'e': 0, 'all_conj': 6}
Row 93: {'time': '1929-07-28 17:55:04', 'p_a_conj': 6, 'p_a_maj': 40, 'p_a_allm': 46, 'p_a_min': 26, 'e': 0, 'all_conj': 6}
Row 94: {'time': '1929-07-28 02:53:04', 'p_a_conj': 5, 'p_a_maj': 32, 'p_a_allm': 37, 'p_a_min': 41, 'e': 1, 'all_conj': 5}
Row 95: {'time': '1929-07-28 06:01:20', 'p_a_conj': 12, 'p_a_maj': 17, 'p_a_allm': 29, 'p_a_min': 31, 'e': 1, 'all_conj': 12}
Row 96: {'time': '1929-07-28 06:48:39', 'p_a_conj': 6, 'p_a_maj': 20, 'p_a_allm': 26, 'p_a_min': 31, 'e': 1, 'all_conj': 6}
Row 97: {'time': '1929-07-28 11:32:48', 'p_a_conj': 7, 'p_a_maj': 20, 'p_a_allm': 27, 'p_a_min': 36, 'e': 1, 'all_conj': 7}
Row 98: {'time': '1929-07-28 04:03:11', 'p_a_conj': 7, 'p_a_maj': 21, 'p_a_allm': 28, 'p_a_min': 39, 'e': 0, 'all_conj': 7}
Row 99: {'time': '1929-07-27 23:00:39', 'p_a_conj': 6, 'p_a_maj': 31, 'p_a_allm': 37, 'p_a_min': 37, 'e': 0, 'all_conj': 6}
Row 100: {'time': '1929-07-28 15:53:36', 'p_a_conj': 4, 'p_a_maj': 29, 'p_a_allm': 33, 'p_a_min': 30, 'e': 0, 'all_conj': 4}
Row 101: {'time': '1929-07-28 18:48:47', 'p_a_conj': 7, 'p_a_maj': 23, 'p_a_allm': 30, 'p_a_min': 35, 'e': 1, 'all_conj': 7}
Row 102: {'time': '1929-07-28 16:43:51', 'p_a_conj': 5, 'p_a_maj': 15, 'p_a_allm': 20, 'p_a_min': 34, 'e': 1, 'all_conj': 5}
Row 103: {'time': '1929-07-28 00:15:35', 'p_a_conj': 9, 'p_a_maj': 24, 'p_a_allm': 33, 'p_a_min': 22, 'e': 1, 'all_conj': 9}
Row 104: {'time': '1929-07-28 19:53:59', 'p_a_conj': 10, 'p_a_maj': 21, 'p_a_allm': 31, 'p_a_min': 27, 'e': 0, 'all_conj': 10}
Row 105: {'time': '1929-07-28 07:27:27', 'p_a_conj': 4, 'p_a_maj': 24, 'p_a_allm': 28, 'p_a_min': 24, 'e': 0, 'all_conj': 4}
Row 106: {'time': '1929-07-28 13:41:36', 'p_a_conj': 9, 'p_a_maj': 21, 'p_a_allm': 30, 'p_a_min': 24, 'e': 1, 'all_conj': 9}
Row 107: {'time': '1929-07-28 18:16:23', 'p_a_conj': 10, 'p_a_maj': 18, 'p_a_allm': 28, 'p_a_min': 31, 'e': 0, 'all_conj': 10}
Row 108: {'time': '1929-07-28 07:10:56', 'p_a_conj': 9, 'p_a_maj': 16, 'p_a_allm': 25, 'p_a_min': 23, 'e': 2, 'all_conj': 9}
Row 109: {'time': '1929-07-27 21:37:59', 'p_a_conj': 11, 'p_a_maj': 23, 'p_a_allm': 34, 'p_a_min': 41, 'e': 0, 'all_conj': 11}
Row 110: {'time': '1929-07-28 10:23:12', 'p_a_conj': 9, 'p_a_maj': 30, 'p_a_allm': 39, 'p_a_min': 31, 'e': 0, 'all_conj': 9}
Row 111: {'time': '1929-07-28 16:47:51', 'p_a_conj': 5, 'p_a_maj': 19, 'p_a_allm': 24, 'p_a_min': 30, 'e': 1, 'all_conj': 5}
Row 112: {'time': '1929-07-28 17:59:44', 'p_a_conj': 11, 'p_a_maj': 29, 'p_a_allm': 40, 'p_a_min': 30, 'e': 1, 'all_conj': 11}
Row 113: {'time': '1929-07-28 06:25:12', 'p_a_conj': 9, 'p_a_maj': 25, 'p_a_allm': 34, 'p_a_min': 27, 'e': 2, 'all_conj': 9}
Row 114: {'time': '1929-07-28 03:03:59', 'p_a_conj': 3, 'p_a_maj': 23, 'p_a_allm': 26, 'p_a_min': 29, 'e': 0, 'all_conj': 3}
Row 115: {'time': '1929-07-28 05:59:52', 'p_a_conj': 12, 'p_a_maj': 18, 'p_a_allm': 30, 'p_a_min': 30, 'e': 1, 'all_conj': 12}
Row 116: {'time': '1929-07-28 06:28:55', 'p_a_conj': 10, 'p_a_maj': 23, 'p_a_allm': 33, 'p_a_min': 26, 'e': 0, 'all_conj': 10}
Row 117: {'time': '1929-07-28 09:35:12', 'p_a_conj': 7, 'p_a_maj': 21, 'p_a_allm': 28, 'p_a_min': 38, 'e': 1, 'all_conj': 7}
Row 118: {'time': '1929-07-28 12:34:07', 'p_a_conj': 7, 'p_a_maj': 15, 'p_a_allm': 22, 'p_a_min': 38, 'e': 1, 'all_conj': 7}
Row 119: {'time': '1929-07-28 05:58:47', 'p_a_conj': 11, 'p_a_maj': 25, 'p_a_allm': 36, 'p_a_min': 29, 'e': 2, 'all_conj': 11}
Row 120: {'time': '1929-07-28 11:48:56', 'p_a_conj': 9, 'p_a_maj': 32, 'p_a_allm': 41, 'p_a_min': 26, 'e': 0, 'all_conj': 9}
Row 121: {'time': '1929-07-27 22:15:43', 'p_a_conj': 7, 'p_a_maj': 22, 'p_a_allm': 29, 'p_a_min': 37, 'e': 0, 'all_conj': 7}
Row 122: {'time': '1929-07-28 13:49:51', 'p_a_conj': 8, 'p_a_maj': 30, 'p_a_allm': 38, 'p_a_min': 25, 'e': 2, 'all_conj': 8}
Row 123: {'time': '1929-07-28 14:08:40', 'p_a_conj': 6, 'p_a_maj': 17, 'p_a_allm': 23, 'p_a_min': 34, 'e': 4, 'all_conj': 6}
Row 124: {'time': '1929-07-28 01:51:28', 'p_a_conj': 6, 'p_a_maj': 25, 'p_a_allm': 31, 'p_a_min': 19, 'e': 2, 'all_conj': 6}
Row 125: {'time': '1929-07-28 14:57:12', 'p_a_conj': 6, 'p_a_maj': 21, 'p_a_allm': 27, 'p_a_min': 27, 'e': 2, 'all_conj': 6}
Row 126: {'time': '1929-07-28 16:30:47', 'p_a_conj': 5, 'p_a_maj': 20, 'p_a_allm': 25, 'p_a_min': 35, 'e': 1, 'all_conj': 5}
Row 127: {'time': '1929-07-28 03:27:27', 'p_a_conj': 3, 'p_a_maj': 19, 'p_a_allm': 22, 'p_a_min': 47, 'e': 0, 'all_conj': 3}
Row 128: {'time': '1929-07-28 07:37:03', 'p_a_conj': 4, 'p_a_maj': 28, 'p_a_allm': 32, 'p_a_min': 27, 'e': 0, 'all_conj': 4}
Row 129: {'time': '1929-07-28 05:21:28', 'p_a_conj': 16, 'p_a_maj': 24, 'p_a_allm': 40, 'p_a_min': 44, 'e': 0, 'all_conj': 16}
Row 130: {'time': '1929-07-28 14:50:15', 'p_a_conj': 5, 'p_a_maj': 23, 'p_a_allm': 28, 'p_a_min': 29, 'e': 3, 'all_conj': 5}
Row 131: {'time': '1929-07-28 09:03:12', 'p_a_conj': 4, 'p_a_maj': 16, 'p_a_allm': 20, 'p_a_min': 44, 'e': 0, 'all_conj': 4}
Row 132: {'time': '1929-07-28 12:49:04', 'p_a_conj': 17, 'p_a_maj': 32, 'p_a_allm': 49, 'p_a_min': 23, 'e': 0, 'all_conj': 17}
Row 133: {'time': '1929-07-28 19:36:31', 'p_a_conj': 0, 'p_a_maj': 21, 'p_a_allm': 21, 'p_a_min': 25, 'e': 1, 'all_conj': 0}
Row 134: {'time': '1929-07-28 12:36:07', 'p_a_conj': 10, 'p_a_maj': 17, 'p_a_allm': 27, 'p_a_min': 39, 'e': 1, 'all_conj': 10}
Row 135: {'time': '1929-07-28 17:31:04', 'p_a_conj': 5, 'p_a_maj': 22, 'p_a_allm': 27, 'p_a_min': 24, 'e': 0, 'all_conj': 5}
Row 136: {'time': '1929-07-27 22:09:36', 'p_a_conj': 6, 'p_a_maj': 15, 'p_a_allm': 21, 'p_a_min': 28, 'e': 1, 'all_conj': 6}
Row 137: {'time': '1929-07-28 10:16:31', 'p_a_conj': 10, 'p_a_maj': 26, 'p_a_allm': 36, 'p_a_min': 42, 'e': 0, 'all_conj': 10}
Row 138: {'time': '1929-07-28 15:05:11', 'p_a_conj': 10, 'p_a_maj': 27, 'p_a_allm': 37, 'p_a_min': 27, 'e': 1, 'all_conj': 10}
Row 139: {'time': '1929-07-28 01:53:20', 'p_a_conj': 9, 'p_a_maj': 21, 'p_a_allm': 30, 'p_a_min': 22, 'e': 3, 'all_conj': 9}
Row 140: {'time': '1929-07-27 23:15:59', 'p_a_conj': 6, 'p_a_maj': 18, 'p_a_allm': 24, 'p_a_min': 34, 'e': 0, 'all_conj': 6}
Row 141: {'time': '1929-07-28 01:35:43', 'p_a_conj': 14, 'p_a_maj': 14, 'p_a_allm': 28, 'p_a_min': 26, 'e': 1, 'all_conj': 14}
