Row 104: {'time': '1935-01-08 22:12:31', 'p_a_allm': 13, 'p_a_min': 27, 'e': 0, 'p_a_maj': 10, 'p_a_conj': 3}
Row 105: {'time': '1935-01-08 10:02:47', 'p_a_allm': 29, 'p_a_min': 15, 'e': 0, 'p_a_maj': 23, 'p_a_conj': 6}
Row 106: {'time': '1935-01-08 12:33:59', 'p_a_allm': 19, 'p_a_min': 25, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 2}
Row 107: {'time': '1935-01-08 20:52:48', 'p_a_allm': 25, 'p_a_min': 22, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 9}
Row 108: {'time': '1935-01-08 09:05:04', 'p_a_allm': 21, 'p_a_min': 15, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 4}
Row 109: {'time': '1935-01-08 06:02:56', 'p_a_allm': 25, 'p_a_min': 24, 'e': 2, 'p_a_maj': 18, 'p_a_conj': 7}
Row 110: {'time': '1935-01-08 13:25:51', 'p_a_allm': 21, 'p_a_min': 22, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 5}
Row 111: {'time': '1935-01-08 07:33:27', 'p_a_allm': 24, 'p_a_min': 22, 'e': 0, 'p_a_maj': 20, 'p_a_conj': 4}
Row 112: {'time': '1935-01-08 21:34:07', 'p_a_allm': 22, 'p_a_min': 26, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 4}
Row 113: {'time': '1935-01-08 11:05:04', 'p_a_allm': 21, 'p_a_min': 19, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 5}
Row 114: {'time': '1935-01-08 14:07:36', 'p_a_allm': 20, 'p_a_min': 23, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 4}
Row 115: {'time': '1935-01-08 15:58:07', 'p_a_allm': 18, 'p_a_min': 21, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 6}
Row 116: {'time': '1935-01-08 21:29:28', 'p_a_allm': 17, 'p_a_min': 23, 'e': 0, 'p_a_maj': 11, 'p_a_conj': 6}
Row 117: {'time': '1935-01-08 18:36:56', 'p_a_allm': 25, 'p_a_min': 14, 'e': 2, 'p_a_maj': 17, 'p_a_conj': 8}
Row 118: {'time': '1935-01-08 08:28:23', 'p_a_allm': 21, 'p_a_min': 22, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 6}
Row 119: {'time': '1935-01-08 10:12:07', 'p_a_allm': 24, 'p_a_min': 24, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 8}
Row 120: {'time': '1935-01-09 00:44:39', 'p_a_allm': 21, 'p_a_min': 13, 'e': 1, 'p_a_maj': 15, 'p_a_conj': 6}
Row 121: {'time': '1935-01-08 16:43:43', 'p_a_allm': 22, 'p_a_min': 24, 'e': 2, 'p_a_maj': 18, 'p_a_conj': 4}
Row 122: {'time': '1935-01-08 17:46:47', 'p_a_allm': 17, 'p_a_min': 26, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 5}
Row 123: {'time': '1935-01-08 23:30:32', 'p_a_allm': 24, 'p_a_min': 13, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 7}
Row 124: {'time': '1935-01-08 11:58:39', 'p_a_allm': 20, 'p_a_min': 19, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 3}
Row 125: {'time': '1935-01-09 02:43:12', 'p_a_allm': 15, 'p_a_min': 19, 'e': 1, 'p_a_maj': 10, 'p_a_conj': 5}
Row 126: {'time': '1935-01-08 06:50:39', 'p_a_allm': 15, 'p_a_min': 21, 'e': 0, 'p_a_maj': 7, 'p_a_conj': 8}
Row 127: {'time': '1935-01-08 17:49:59', 'p_a_allm': 15, 'p_a_min': 27, 'e': 0, 'p_a_maj': 12, 'p_a_conj': 3}
Row 128: {'time': '1935-01-08 21:36:15', 'p_a_allm': 18, 'p_a_min': 29, 'e': 0, 'p_a_maj': 15, 'p_a_conj': 3}
Row 129: {'time': '1935-01-09 02:10:08', 'p_a_allm': 20, 'p_a_min': 19, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 2}
Row 130: {'time': '1935-01-08 07:55:04', 'p_a_allm': 21, 'p_a_min': 21, 'e': 0, 'p_a_maj': 14, 'p_a_conj': 7}
Row 131: {'time': '1935-01-08 14:13:52', 'p_a_allm': 22, 'p_a_min': 13, 'e': 1, 'p_a_maj': 16, 'p_a_conj': 6}
Row 132: {'time': '1935-01-09 02:12:31', 'p_a_allm': 21, 'p_a_min': 18, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 4}
Row 133: {'time': '1935-01-08 10:30:15', 'p_a_allm': 22, 'p_a_min': 29, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 5}
Row 134: {'time': '1935-01-08 20:24:00', 'p_a_allm': 21, 'p_a_min': 24, 'e': 1, 'p_a_maj': 18, 'p_a_conj': 3}
Row 135: {'time': '1935-01-08 15:47:51', 'p_a_allm': 27, 'p_a_min': 31, 'e': 0, 'p_a_maj': 21, 'p_a_conj': 6}
Row 136: {'time': '1935-01-09 01:19:20', 'p_a_allm': 26, 'p_a_min': 19, 'e': 0, 'p_a_maj': 18, 'p_a_conj': 8}
Row 137: {'time': '1935-01-08 14:41:44', 'p_a_allm': 22, 'p_a_min': 15, 'e': 1, 'p_a_maj': 17, 'p_a_conj': 5}
Row 138: {'time': '1935-01-08 18:35:28', 'p_a_allm': 21, 'p_a_min': 13, 'e': 3, 'p_a_maj': 13, 'p_a_conj': 8}
Row 139: {'time': '1935-01-08 18:18:24', 'p_a_allm': 15, 'p_a_min': 20, 'e': 1, 'p_a_maj': 11, 'p_a_conj': 4}
Row 140: {'time': '1935-01-08 07:26:55', 'p_a_allm': 28, 'p_a_min': 24, 'e': 0, 'p_a_maj': 17, 'p_a_conj': 11}
Row 141: {'time': '1935-01-08 19:32:31', 'p_a_allm': 23, 'p_a_min': 16, 'e': 1, 'p_a_maj': 19, 'p_a_conj': 4}
Row 142: {'time': '1935-01-08 15:28:23', 'p_a_allm': 24, 'p_a_min': 22, 'e': 0, 'p_a_maj': 16, 'p_a_conj': 8}
