Row 32: {'time': '2000-03-11 11:59:36', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 3, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 4, 'h_p_allm': 5, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 3, 'all_maj': 8, 'all_conj': 2, 'all_m': 10}
Row 33: {'time': '2000-03-11 12:58:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 5, 'a_p_allm': 5, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 4, 'all_maj': 9, 'all_conj': 1, 'all_m': 10}
Row 34: {'time': '2000-03-11 14:36:56', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 6, 'all_maj': 3, 'all_conj': 1, 'all_m': 4}
Row 35: {'time': '2000-03-11 15:16:47', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 2, 'p_h_maj': 0, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_allm': 0, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 5, 'all_maj': 4, 'all_conj': 5, 'all_m': 9}
Row 36: {'time': '2000-03-11 09:29:20', 'p_a_conj': 0, 'p_a_maj': 5, 'p_a_allm': 5, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 1, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 3, 'h_p_allm': 4, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 3, 'all_maj': 9, 'all_conj': 1, 'all_m': 10}
Row 37: {'time': '2000-03-11 15:20:47', 'p_a_conj': 0, 'p_a_maj': 3, 'p_a_allm': 3, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_allm': 1, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_allm': 1, 'p_h_min': 0, 'h_p_conj': 2, 'h_p_maj': 3, 'h_p_allm': 5, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 1, 'all_maj': 7, 'all_conj': 3, 'all_m': 10}
Row 38: {'time': '2000-03-11 15:00:31', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 6, 'a_p_allm': 6, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 1, 'all_maj': 8, 'all_conj': 0, 'all_m': 8}
Row 39: {'time': '2000-03-11 14:01:28', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 11, 'a_p_allm': 12, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_allm': 2, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_allm': 2, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 1, 'all_maj': 15, 'all_conj': 1, 'all_m': 16}
Row 40: {'time': '2000-03-11 10:47:11', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_allm': 0, 'p_a_min': 0, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_allm': 0, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 8, 'all_maj': 0, 'all_conj': 1, 'all_m': 1}
Row 41: {'time': '2000-03-11 10:15:11', 'p_a_conj': 1, 'p_a_maj': 0, 'p_a_allm': 1, 'p_a_min': 0, 'a_p_conj': 3, 'a_p_maj': 1, 'a_p_allm': 4, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_allm': 0, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 1, 'h_p_allm': 1, 'h_p_min': 0, 'p_p_conj': 0, 'p_p_maj': 0, 'p_p_allm': 0, 'mon_p_conj': 0, 'mon_p_maj': 0, 'mon_p_allm': 0, 'mon_p_min': 0, 'e': 5, 'all_maj': 2, 'all_conj': 4, 'all_m': 6}
