Row 58: {'time': '1935-01-08 07:33:27', 'p_a_conj': 0, 'p_a_maj': 2, 'p_a_min': 5, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 2, 'h_p_min': 2, 'e': 4, 'total_count': 177}
Row 59: {'time': '1935-01-08 21:34:07', 'p_a_conj': 0, 'p_a_maj': 1, 'p_a_min': 0, 'a_p_conj': 1, 'a_p_maj': 0, 'a_p_min': 0, 'p_h_conj': 1, 'p_h_maj': 1, 'p_h_min': 0, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 3, 'e': 8, 'total_count': 89}
Row 60: {'time': '1935-01-08 20:34:31', 'p_a_conj': 3, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 4, 'a_p_maj': 2, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 0, 'h_p_conj': 1, 'h_p_maj': 1, 'h_p_min': 3, 'e': 5, 'total_count': 292}
Row 61: {'time': '1935-01-08 11:05:04', 'p_a_conj': 2, 'p_a_maj': 5, 'p_a_min': 2, 'a_p_conj': 1, 'a_p_maj': 1, 'a_p_min': 1, 'p_h_conj': 0, 'p_h_maj': 3, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 0, 'e': 4, 'total_count': 258}
Row 62: {'time': '1935-01-08 17:59:52', 'p_a_conj': 1, 'p_a_maj': 3, 'p_a_min': 2, 'a_p_conj': 0, 'a_p_maj': 4, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 1, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 0, 'h_p_min': 3, 'e': 3, 'total_count': 256}
Row 63: {'time': '1935-01-08 14:07:36', 'p_a_conj': 1, 'p_a_maj': 2, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 4, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 1, 'e': 4, 'total_count': 234}
Row 64: {'time': '1935-01-08 06:44:08', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 1, 'a_p_maj': 2, 'a_p_min': 0, 'p_h_conj': 0, 'p_h_maj': 2, 'p_h_min': 3, 'h_p_conj': 2, 'h_p_maj': 1, 'h_p_min': 0, 'e': 8, 'total_count': 197}
Row 65: {'time': '1935-01-08 21:23:51', 'p_a_conj': 0, 'p_a_maj': 0, 'p_a_min': 1, 'a_p_conj': 2, 'a_p_maj': 1, 'a_p_min': 2, 'p_h_conj': 2, 'p_h_maj': 1, 'p_h_min': 2, 'h_p_conj': 2, 'h_p_maj': 0, 'h_p_min': 1, 'e': 2, 'total_count': 200}
Row 66: {'time': '1935-01-08 21:13:04', 'p_a_conj': 2, 'p_a_maj': 0, 'p_a_min': 3, 'a_p_conj': 0, 'a_p_maj': 0, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 1, 'h_p_maj': 2, 'h_p_min': 1, 'e': 5, 'total_count': 118}
Row 67: {'time': '1935-01-08 12:09:52', 'p_a_conj': 1, 'p_a_maj': 1, 'p_a_min': 4, 'a_p_conj': 1, 'a_p_maj': 6, 'a_p_min': 2, 'p_h_conj': 0, 'p_h_maj': 0, 'p_h_min': 1, 'h_p_conj': 0, 'h_p_maj': 0, 'h_p_min': 4, 'e': 4, 'total_count': 261}
