['Time', '0: 1954-07-30', '1: 1955-05-01', '2: 1956-01-28', '3: 1956-09-09', '4: 1958-03-24', '5: 1958-08-14', '6: 1958-10-01', '7: 1959-06-01', '8: 1960-03-05', '9: 1967-05-01', '10: 1968-02-01', '11: 1972-08-15', '12: 1977-08-16', '13: 1979-06-26', 'Count']
['1935-01-08 21:13:04', "(H1,84.606,(r)) (Mercury,309.521,(d)) (135-sesquisquare,5')", "(H10,335.212,(r)) (Sun,305.142,(d)) (30-semisextile,4')", "(Uranus,27.500,(r)) (H10,357.591,(d)) (30-semisextile,5')", "(Sun,287.684,(r)) (H1,62.652,(c)) (135-sesquisquare,2')", '4', "(Uranus,27.500,(r)) (H12,72.494,(d)) (45-semisquare,0')\n(H1,84.606,(r)) (Uranus,54.589,(d)) (30-semisextile,1')", "(Sun,287.684,(r)) (H9,287.523,(c)) (conjunction,10')\n(H9,308.849,(r)) (Venus,278.862,(c)) (30-semisextile,1')", '7', '8', '9', "(H4,155.212,(r)) (Mars,155.062,(c)) (conjunction,9')", "(Saturn,325.789,(r)) (H12,85.795,(d)) (trine,0')\n(Venus,299.921,(r)) (H12,359.969,(c)) (sextile,3')", "(H10,335.212,(r)) (Uranus,335.077,(c)) (conjunction,8')", '13', 118]
['1935-01-08 12:09:52', '0', '1', '2', "(Venus,299.448,(r)) (H1,254.420,(c)) (45-semisquare,2')\n(Venus,299.448,(r)) (H10,179.463,(c)) (trine,1')", "(Mercury,292.416,(r)) (H3,322.376,(c)) (30-semisextile,2')", "(Mars,192.857,(r)) (H1,252.803,(c)) (sextile,3')\n(H1,273.420,(r)) (Pluto,93.478,(c)) (opposition,3')", '6', "(Sun,287.299,(r)) (H10,227.378,(d)) (sextile,5')\n(Moon,332.995,(r)) (H3,17.910,(d)) (45-semisquare,5')\n(H1,273.420,(r)) (Moon,303.427,(c)) (30-semisextile,0')", "(Jupiter,228.080,(r)) (H10,228.125,(d)) (conjunction,3')\n(H10,202.564,(r)) (Uranus,52.571,(d)) (150-quincunx,0')", "(Jupiter,228.080,(r)) (H10,168.060,(c)) (sextile,1')", "(H1,273.420,(r)) (Mercury,333.436,(d)) (sextile,1')\n(Sun,287.299,(r)) (H4,347.254,(c)) (sextile,3')\n(Moon,332.995,(r)) (H5,18.064,(c)) (45-semisquare,4')\n(Jupiter,228.080,(r)) (H5,18.064,(c)) (150-quincunx,1')", "(Uranus,27.499,(r)) (H4,342.433,(c)) (45-semisquare,4')\n(H1,273.420,(r)) (Neptune,123.387,(c)) (150-quincunx,2')\n(H7,93.420,(r)) (Neptune,123.387,(c)) (30-semisextile,2')", "(H8,130.075,(r)) (Mean_Node,355.104,(d)) (135-sesquisquare,2')", "(Saturn,325.750,(r)) (H1,235.672,(c)) (square,5')", 261]
['1935-01-09 01:19:20', "(Venus,300.136,(r)) (H10,60.222,(d)) (trine,5')\n(Uranus,27.500,(r)) (H3,207.586,(d)) (opposition,5')", '1', "(H1,137.320,(r)) (Venus,317.386,(d)) (opposition,4')\n(H3,188.699,(r)) (Jupiter,248.780,(d)) (sextile,5')\n(Venus,300.136,(r)) (H1,120.260,(c)) (opposition,7')\n(Jupiter,228.166,(r)) (H3,168.135,(c)) (sextile,2')", "(H10,41.205,(r)) (Venus,281.292,(c)) (trine,5')", '4', "(Mean_Node,301.825,(r)) (H8,1.850,(d)) (sextile,2')\n(H1,137.320,(r)) (Moon,2.299,(d)) (135-sesquisquare,1')", "(H10,41.205,(r)) (Jupiter,251.271,(d)) (150-quincunx,4')", "(H3,188.699,(r)) (Sun,308.781,(d)) (trine,5')\n(Uranus,27.500,(r)) (H1,117.535,(c)) (square,2')\n(H10,41.205,(r)) (Sun,266.261,(c)) (135-sesquisquare,3')\n(H10,41.205,(r)) (Mean_Node,281.178,(c)) (trine,2')", '8', "(Mars,193.078,(r)) (H5,223.055,(c)) (30-semisextile,1')", '10', "(Mean_Node,301.825,(r)) (H4,181.867,(c)) (trine,3')\n(H4,221.205,(r)) (Neptune,131.158,(c)) (square,3')", '12', "(Saturn,325.807,(r)) (H1,100.809,(c)) (135-sesquisquare,0')", 288]
['1935-01-08 15:58:07', '0', '1', '2', "(H3,54.928,(r)) (Venus,324.866,(d)) (square,4')\n(H10,259.049,(r)) (Moon,304.069,(c)) (45-semisquare,1')", '4', "(Sun,287.461,(r)) (H1,17.384,(d)) (square,5')", "(Jupiter,228.105,(r)) (H9,258.024,(d)) (30-semisextile,5')", "(H3,54.928,(r)) (Sun,264.978,(c)) (150-quincunx,3')", '8', "(Venus,299.647,(r)) (H7,119.527,(c)) (opposition,7')\n(H7,161.773,(r)) (Jupiter,191.688,(c)) (30-semisextile,5')", "(H4,79.049,(r)) (Moon,19.021,(d)) (sextile,2')\n(Jupiter,228.105,(r)) (H4,47.963,(c)) (opposition,9')", "(Venus,299.647,(r)) (H12,269.700,(c)) (30-semisextile,3')\n(H4,79.049,(r)) (Mercury,259.018,(c)) (opposition,2')", "(Pluto,115.129,(r)) (H12,265.218,(c)) (150-quincunx,5')\n(H10,259.049,(r)) (Mars,139.008,(c)) (trine,2')", "(H10,259.049,(r)) (Neptune,229.000,(d)) (30-semisextile,3')", 185]
['1935-01-08 15:16:47', '0', "(H1,326.748,(r)) (Jupiter,206.671,(c)) (trine,5')", "(H10,249.407,(r)) (Jupiter,249.567,(d)) (conjunction,10')", "(Venus,299.611,(r)) (H1,299.670,(c)) (conjunction,4')", "(Mercury,292.631,(r)) (H3,67.547,(d)) (135-sesquisquare,5')\n(H3,43.926,(r)) (Mars,223.851,(d)) (opposition,5')", "(Uranus,27.500,(r)) (H1,297.516,(c)) (square,1')", '6', '7', "(H10,249.407,(r)) (H3,69.428,(d)) (opposition,1')\n(H1,326.748,(r)) (Uranus,356.690,(c)) (30-semisextile,3')", '9', "(Sun,287.432,(r)) (H1,287.452,(c)) (conjunction,1')", "(Mars,192.910,(r)) (H1,282.899,(c)) (square,1')\n(Mars,192.910,(r)) (H7,102.899,(c)) (square,1')\n(H1,326.748,(r)) (Mars,146.776,(c)) (opposition,2')\n(H7,146.748,(r)) (Mars,146.776,(c)) (conjunction,2')", '12', "(Moon,334.903,(r)) (H10,289.919,(d)) (45-semisquare,1')\n(Saturn,325.763,(r)) (H10,205.785,(c)) (trine,1')\n(Neptune,164.447,(r)) (H12,254.377,(c)) (square,4')", 268]
['1935-01-08 19:34:07', '0', "(H10,309.793,(r)) (Neptune,189.813,(d)) (trine,1')", "(H1,58.727,(r)) (Sun,268.742,(c)) (150-quincunx,1')", "(H1,58.727,(r)) (Uranus,358.733,(c)) (sextile,0')", '4', "(H1,58.727,(r)) (Neptune,193.779,(d)) (135-sesquisquare,3')\n(Sun,287.614,(r)) (H4,107.512,(c)) (opposition,6')\n(H4,129.793,(r)) (Moon,309.771,(c)) (opposition,1')", "(Moon,337.523,(r)) (H9,307.544,(d)) (30-semisextile,1')\n(H10,309.793,(r)) (Moon,309.635,(c)) (conjunction,9')", "(Uranus,27.500,(r)) (H1,27.467,(c)) (conjunction,2')", "(H3,106.246,(r)) (H10,286.081,(c)) (opposition,10')", '9', "(Mean_Node,301.838,(r)) (H1,91.829,(d)) (150-quincunx,1')", '11', '12', "(Saturn,325.782,(r)) (H10,355.709,(d)) (30-semisextile,4')\n(Uranus,27.500,(r)) (H1,357.546,(c)) (30-semisextile,3')", 191]
['1935-01-08 11:38:39', '0', "(Mercury,292.380,(r)) (H10,172.407,(c)) (trine,2')", '2', '3', "(Pluto,115.133,(r)) (H12,265.058,(d)) (150-quincunx,5')", "(H4,14.174,(r)) (Mean_Node,329.169,(d)) (45-semisquare,0')", "(H1,266.250,(r)) (Jupiter,206.266,(c)) (sextile,1')", "(Jupiter,228.076,(r)) (H10,168.038,(c)) (sextile,2')", '8', "(Sun,287.277,(r)) (H10,227.358,(d)) (sextile,5')", "(Jupiter,228.076,(r)) (H4,48.100,(d)) (opposition,1')", '11', "(Mars,192.849,(r)) (H12,282.909,(d)) (square,4')\n(H10,194.174,(r)) (Uranus,344.191,(c)) (150-quincunx,1')", "(Saturn,325.747,(r)) (H8,175.755,(d)) (150-quincunx,0')\n(H1,266.250,(r)) (Mean_Node,356.274,(d)) (square,1')\n(H10,194.174,(r)) (Moon,284.089,(c)) (square,5')", 177]
['1935-01-08 19:35:59', "(Venus,299.837,(r)) (H10,329.885,(d)) (30-semisextile,3')", '1', '2', "(H10,310.256,(r)) (Venus,280.227,(c)) (30-semisextile,2')", "(Moon,337.542,(r)) (H3,127.500,(d)) (150-quincunx,3')\n(H3,106.669,(r)) (Pluto,136.717,(d)) (30-semisextile,3')\n(Saturn,325.782,(r)) (H3,85.838,(c)) (trine,3')\n(H10,310.256,(r)) (Moon,310.240,(c)) (conjunction,1')", "(H8,264.490,(r)) (Mean_Node,324.511,(d)) (sextile,1')\n(H4,130.256,(r)) (Mean_Node,280.229,(c)) (150-quincunx,2')", '6', '7', "(Jupiter,228.128,(r)) (H12,48.047,(d)) (opposition,5')\n(H3,106.669,(r)) (Jupiter,256.665,(d)) (150-quincunx,0')\n(H3,106.669,(r)) (H10,286.516,(c)) (opposition,9')", '9', "(H4,130.256,(r)) (Pluto,85.336,(c)) (45-semisquare,5')", '11', "(Mean_Node,301.838,(r)) (H8,301.829,(d)) (conjunction,1')", '13', 149]
['1935-01-08 21:29:28', "(H3,132.666,(r)) (Venus,282.628,(c)) (150-quincunx,2')", "(Moon,338.694,(r)) (H1,68.623,(c)) (square,4')", "(Moon,338.694,(r)) (H3,113.630,(c)) (135-sesquisquare,4')", "(Mercury,293.060,(r)) (H3,113.080,(c)) (opposition,1')\n(H1,88.459,(r)) (Sun,268.613,(c)) (opposition,9')", '4', "(H8,290.048,(r)) (Neptune,140.059,(c)) (150-quincunx,1')", "(H1,88.459,(r)) (Moon,313.437,(c)) (135-sesquisquare,1')", "(H1,88.459,(r)) (Mercury,313.504,(d)) (135-sesquisquare,3')\n(H3,132.666,(r)) (Moon,312.785,(c)) (opposition,7')", '8', "(H5,193.431,(r)) (Venus,328.430,(d)) (135-sesquisquare,0')\n(H7,268.459,(r)) (Venus,328.430,(d)) (sextile,2')", '10', "(Mean_Node,301.833,(r)) (H4,121.835,(c)) (opposition,0')\n(H1,88.459,(r)) (Mean_Node,268.583,(c)) (opposition,7')\n(H7,268.459,(r)) (Mean_Node,268.583,(c)) (conjunction,7')", '12', '13', 223]
['1935-01-08 18:36:56', '0', '1', '2', "(H3,93.246,(r)) (Mercury,273.393,(c)) (opposition,9')", '4', '5', "(Moon,336.941,(r)) (H1,6.966,(c)) (30-semisextile,1')", '7', '8', "(Sun,287.573,(r)) (H7,257.511,(d)) (30-semisextile,4')\n(Uranus,27.500,(r)) (H10,327.551,(d)) (sextile,3')", '10', '11', '12', "(Pluto,115.127,(r)) (H10,340.201,(d)) (135-sesquisquare,4')\n(H1,40.917,(r)) (Neptune,220.976,(d)) (opposition,4')", 83]
['1935-01-08 17:38:23', '0', "(H10,282.167,(r)) (Mean_Node,282.332,(c)) (conjunction,10')", "(Mean_Node,301.842,(r)) (H10,301.727,(d)) (conjunction,7')", "(H10,282.167,(r)) (Jupiter,252.227,(d)) (30-semisextile,4')\n(Sun,287.532,(r)) (H1,347.482,(c)) (sextile,3')", "(Saturn,325.773,(r)) (H3,100.693,(d)) (135-sesquisquare,5')", "(Neptune,164.446,(r)) (H1,344.599,(c)) (opposition,9')", "(Neptune,164.446,(r)) (H1,344.403,(c)) (opposition,3')\n(H9,259.673,(r)) (Jupiter,199.616,(c)) (sextile,3')", "(Mercury,292.794,(r)) (H1,52.829,(d)) (trine,2')", '8', "(Mean_Node,301.842,(r)) (H7,151.919,(c)) (150-quincunx,5')", "(Mars,192.949,(r)) (H5,162.953,(d)) (30-semisextile,0')\n(H1,20.190,(r)) (Venus,335.192,(d)) (45-semisquare,0')", "(Mercury,292.794,(r)) (H1,67.716,(d)) (135-sesquisquare,5')\n(Mercury,292.794,(r)) (H7,247.716,(d)) (45-semisquare,5')", "(Mars,192.949,(r)) (H1,72.916,(d)) (trine,2')", "(H1,20.190,(r)) (Mean_Node,350.265,(d)) (30-semisextile,5')\n(H10,282.167,(r)) (Pluto,162.097,(d)) (trine,4')", 226]
['1935-01-08 21:02:07', "(Mercury,293.028,(r)) (H10,353.000,(d)) (sextile,2')\n(Mean_Node,301.834,(r)) (H1,61.911,(c)) (trine,5')", "(Jupiter,228.138,(r)) (H9,288.093,(c)) (sextile,3')", "(H1,81.981,(r)) (Uranus,52.064,(d)) (30-semisextile,5')", "(H3,126.319,(r)) (Sun,306.397,(d)) (opposition,5')", '4', "(Mars,193.006,(r)) (H1,103.063,(d)) (square,3')", "(Uranus,27.500,(r)) (H10,357.478,(d)) (30-semisextile,1')\n(Moon,338.417,(r)) (H10,308.484,(c)) (30-semisextile,4')", '7', '8', '9', "(Mars,193.006,(r)) (H5,223.011,(d)) (30-semisextile,0')", "(Pluto,115.125,(r)) (H4,115.278,(c)) (conjunction,9')", "(Sun,287.676,(r)) (H10,17.668,(d)) (square,0')\n(H8,284.041,(r)) (Uranus,73.987,(d)) (150-quincunx,3')\n(H10,332.317,(r)) (Mars,242.246,(d)) (square,4')", "(H1,81.981,(r)) (Mean_Node,262.056,(c)) (opposition,4')\n(H8,284.041,(r)) (Saturn,283.962,(c)) (conjunction,5')\n(H10,332.317,(r)) (Uranus,332.345,(c)) (conjunction,2')", 250]
['1935-01-08 06:20:47', "(H1,199.607,(r)) (Jupiter,244.633,(d)) (45-semisquare,2')", "(H9,78.817,(r)) (Venus,318.787,(d)) (trine,2')\n(Jupiter,228.041,(r)) (H10,93.067,(c)) (135-sesquisquare,2')", "(H1,199.607,(r)) (Venus,319.520,(d)) (trine,5')", "(Moon,329.419,(r)) (H3,239.457,(c)) (square,2')\n(Mean_Node,301.867,(r)) (H10,91.836,(c)) (150-quincunx,2')", '4', "(H4,291.617,(r)) (Moon,351.621,(d)) (sextile,0')", '6', "(Moon,329.419,(r)) (H1,179.424,(c)) (150-quincunx,0')\n(Moon,329.419,(r)) (H10,89.373,(c)) (trine,3')", '8', "(H5,324.168,(r)) (Uranus,54.128,(d)) (square,2')\n(H7,19.607,(r)) (Jupiter,199.609,(c)) (opposition,0')", '10', "(Uranus,27.499,(r)) (H12,207.526,(d)) (opposition,2')\n(H4,291.617,(r)) (Saturn,291.636,(c)) (conjunction,1')", "(Mean_Node,301.867,(r)) (H12,211.921,(d)) (square,3')\n(H8,47.779,(r)) (Mars,227.950,(d)) (opposition,10')\n(Mars,192.759,(r)) (H10,72.812,(c)) (trine,3')\n(Neptune,164.452,(r)) (H1,164.348,(c)) (conjunction,6')", "(Saturn,325.725,(r)) (H1,235.792,(d)) (square,4')\n(Mars,192.759,(r)) (H1,162.814,(c)) (30-semisextile,3')\n(H10,111.617,(r)) (Sun,246.551,(c)) (135-sesquisquare,4')", 295]
['1935-01-08 07:22:39', "(Jupiter,228.048,(r)) (H10,108.085,(c)) (trine,2')", "(Mercury,292.086,(r)) (H9,111.953,(d)) (opposition,8')", "(Uranus,27.499,(r)) (H10,147.425,(d)) (trine,4')", '3', "(H3,272.964,(r)) (Mars,212.908,(d)) (sextile,3')", "(Moon,330.054,(r)) (H4,330.041,(d)) (conjunction,1')\n(Neptune,164.451,(r)) (H4,284.377,(c)) (trine,4')\n(Mean_Node,301.865,(r)) (H12,166.916,(c)) (135-sesquisquare,3')", "(Moon,330.054,(r)) (H10,150.177,(d)) (opposition,7')", "(H10,126.482,(r)) (Moon,306.419,(c)) (opposition,4')", '8', "(H5,339.141,(r)) (H10,159.126,(d)) (opposition,1')", "(H1,212.496,(r)) (Moon,2.424,(d)) (150-quincunx,4')", '11', "(H1,212.496,(r)) (Uranus,62.477,(d)) (150-quincunx,1')\n(Moon,330.054,(r)) (H12,150.065,(c)) (opposition,1')\n(H8,61.269,(r)) (Saturn,286.312,(c)) (135-sesquisquare,3')", "(Saturn,325.729,(r)) (H8,100.643,(d)) (135-sesquisquare,5')\n(H1,212.496,(r)) (Mean_Node,347.420,(d)) (135-sesquisquare,5')", 245]
['1935-01-08 14:04:23', '0', "(Venus,299.548,(r)) (H9,179.469,(c)) (trine,5')", '2', "(Sun,287.380,(r)) (H3,47.390,(d)) (trine,1')\n(Uranus,27.499,(r)) (H10,252.411,(d)) (135-sesquisquare,5')", '4', "(Sun,287.380,(r)) (H8,197.289,(d)) (square,6')\n(Moon,334.164,(r)) (H1,334.024,(d)) (conjunction,8')\n(H1,303.396,(r)) (Pluto,93.408,(c)) (150-quincunx,1')\n(H8,165.928,(r)) (Mars,165.949,(c)) (conjunction,1')\n(H8,165.928,(r)) (Neptune,136.000,(c)) (30-semisextile,4')", "(Moon,334.164,(r)) (H1,334.212,(d)) (conjunction,3')", "(H3,23.408,(r)) (Mercury,323.335,(d)) (sextile,4')\n(Uranus,27.499,(r)) (H10,207.506,(c)) (opposition,0')\n(H3,23.408,(r)) (Jupiter,203.401,(c)) (opposition,0')", '8', "(Mean_Node,301.850,(r)) (H7,166.810,(d)) (135-sesquisquare,2')\n(Moon,334.164,(r)) (H10,199.216,(c)) (135-sesquisquare,3')", '10', "(Saturn,325.758,(r)) (H1,265.776,(c)) (sextile,1')\n(Saturn,325.758,(r)) (H7,85.776,(c)) (trine,1')", '12', '13', 239]
['1935-01-08 17:19:44', "(Jupiter,228.114,(r)) (H3,93.175,(d)) (135-sesquisquare,4')\n(H10,277.849,(r)) (Uranus,52.817,(d)) (135-sesquisquare,2')", "(Uranus,27.500,(r)) (H1,342.431,(c)) (45-semisquare,4')", "(H10,277.849,(r)) (Sun,307.760,(d)) (30-semisextile,5')\n(H10,277.849,(r)) (Moon,307.800,(c)) (30-semisextile,3')", '3', '4', "(Venus,299.718,(r)) (H4,119.637,(d)) (opposition,5')\n(H8,229.252,(r)) (Moon,4.164,(d)) (135-sesquisquare,5')\n(H4,97.849,(r)) (Venus,277.791,(c)) (opposition,4')", "(Venus,299.718,(r)) (H10,299.761,(d)) (conjunction,3')\n(H10,277.849,(r)) (Venus,277.670,(c)) (conjunction,11')", '7', "(Jupiter,228.114,(r)) (H1,47.963,(d)) (opposition,9')\n(H3,75.238,(r)) (Jupiter,255.346,(d)) (opposition,6')\n(H10,277.849,(r)) (Mean_Node,277.696,(c)) (conjunction,9')", '9', "(Uranus,27.500,(r)) (H1,57.442,(d)) (30-semisextile,3')\n(Mercury,292.772,(r)) (H4,67.740,(c)) (135-sesquisquare,2')\n(H4,97.849,(r)) (Jupiter,187.798,(c)) (square,3')", '11', "(Uranus,27.500,(r)) (H12,27.342,(d)) (conjunction,9')\n(Neptune,164.446,(r)) (H12,284.389,(c)) (trine,3')\n(H1,13.145,(r)) (Uranus,328.078,(c)) (45-semisquare,4')", '13', 267]
['1935-01-08 08:28:23', "(Mean_Node,301.862,(r)) (H1,241.931,(d)) (sextile,4')", '1', '2', "(H1,226.066,(r)) (Uranus,46.085,(d)) (opposition,1')\n(Mean_Node,301.862,(r)) (H10,121.739,(c)) (opposition,7')", '4', "(Mean_Node,301.862,(r)) (H12,181.902,(c)) (trine,2')", '6', "(Venus,299.255,(r)) (H10,119.156,(c)) (opposition,6')", "(H3,288.504,(r)) (Mercury,318.541,(d)) (30-semisextile,2')\n(H10,143.006,(r)) (Mean_Node,278.054,(c)) (135-sesquisquare,3')", "(Uranus,27.499,(r)) (H7,72.453,(d)) (45-semisquare,3')", "(Uranus,27.499,(r)) (H5,27.481,(d)) (conjunction,1')", "(Saturn,325.734,(r)) (H12,235.660,(d)) (square,4')\n(Mean_Node,301.862,(r)) (H1,256.910,(d)) (45-semisquare,3')\n(Mean_Node,301.862,(r)) (H7,76.910,(d)) (135-sesquisquare,3')", "(Pluto,115.136,(r)) (H8,115.303,(d)) (conjunction,10')", "(H10,143.006,(r)) (Mars,232.928,(d)) (square,5')", 195]
['1935-01-08 06:17:04', "(H3,257.970,(r)) (Venus,318.003,(d)) (sextile,2')", "(H1,198.825,(r)) (Venus,318.741,(d)) (trine,5')", "(Venus,299.140,(r)) (H3,239.157,(c)) (sextile,1')", '3', "(Mars,192.758,(r)) (H10,132.833,(d)) (sextile,4')\n(H3,257.970,(r)) (Saturn,347.966,(d)) (square,0')", "(H8,46.962,(r)) (Uranus,46.996,(d)) (conjunction,2')\n(Sun,287.050,(r)) (H12,152.108,(c)) (135-sesquisquare,3')\n(Moon,329.381,(r)) (H1,179.298,(c)) (150-quincunx,5')", "(Venus,299.140,(r)) (H1,179.189,(c)) (trine,3')\n(Venus,299.140,(r)) (H10,89.116,(c)) (150-quincunx,1')", '7', '8', "(Mercury,292.011,(r)) (H7,352.075,(c)) (sextile,4')", "(Pluto,115.138,(r)) (H5,355.057,(d)) (trine,5')\n(H1,198.825,(r)) (Sun,318.849,(d)) (trine,1')\n(H1,198.825,(r)) (Jupiter,198.884,(c)) (conjunction,4')", "(H1,198.825,(r)) (Neptune,198.988,(d)) (conjunction,10')\n(H7,18.825,(r)) (Neptune,198.988,(d)) (opposition,10')", "(H10,110.737,(r)) (Moon,290.607,(c)) (opposition,8')", "(Pluto,115.138,(r)) (H10,70.224,(c)) (45-semisquare,5')", 269]
['1935-01-08 23:41:20', "(H10,15.427,(r)) (Venus,315.435,(d)) (sextile,0')", '1', "(H3,164.374,(r)) (Mean_Node,284.288,(c)) (trine,5')", '3', '4', "(H8,318.851,(r)) (Venus,318.733,(d)) (conjunction,7')\n(H1,117.101,(r)) (Sun,267.131,(c)) (150-quincunx,2')\n(H8,318.851,(r)) (Mars,168.819,(c)) (150-quincunx,2')", "(Moon,340.031,(r)) (H10,40.005,(d)) (sextile,2')\n(H1,117.101,(r)) (Sun,267.010,(c)) (150-quincunx,5')", '7', "(Jupiter,228.155,(r)) (H12,108.169,(d)) (trine,1')", '9', "(Moon,340.031,(r)) (H4,160.088,(c)) (opposition,3')\n(Pluto,115.122,(r)) (H4,160.088,(c)) (45-semisquare,2')", '11', "(H1,117.101,(r)) (Mars,237.027,(d)) (trine,4')", "(H1,117.101,(r)) (Uranus,72.114,(d)) (45-semisquare,1')\n(H1,117.101,(r)) (Mars,147.022,(c)) (30-semisextile,5')", 167]
['1935-01-08 08:08:24', '0', '1', "(Uranus,27.499,(r)) (H10,117.510,(c)) (square,1')\n(H1,221.947,(r)) (Mean_Node,281.939,(c)) (sextile,0')", '3', '4', "(Pluto,115.136,(r)) (H4,295.125,(c)) (opposition,1')", "(Mercury,292.139,(r)) (H9,82.065,(c)) (150-quincunx,4')", "(Mercury,292.139,(r)) (H1,202.051,(c)) (square,5')", '8', "(H10,137.892,(r)) (Moon,2.940,(d)) (135-sesquisquare,3')\n(Sun,287.128,(r)) (H10,107.054,(c)) (opposition,4')\n(Moon,330.523,(r)) (H7,15.532,(c)) (45-semisquare,1')", "(H5,350.420,(r)) (Sun,320.508,(d)) (30-semisextile,5')\n(H5,350.420,(r)) (Jupiter,200.389,(c)) (150-quincunx,2')", "(H1,221.947,(r)) (Mean_Node,266.885,(c)) (45-semisquare,4')\n(H7,41.947,(r)) (Mean_Node,266.885,(c)) (135-sesquisquare,4')", "(Mean_Node,301.863,(r)) (H1,256.838,(d)) (45-semisquare,1')", '13', 159]
['1935-01-08 14:41:44', '0', '1', '2', '3', "(Pluto,115.130,(r)) (H12,265.189,(c)) (150-quincunx,4')", "(Neptune,164.447,(r)) (H8,209.460,(d)) (45-semisquare,1')\n(H4,61.075,(r)) (Saturn,1.101,(d)) (sextile,2')\n(Mars,192.900,(r)) (H8,147.854,(c)) (45-semisquare,3')", "(Jupiter,228.096,(r)) (H1,348.184,(d)) (trine,5')\n(H1,314.942,(r)) (Neptune,135.061,(c)) (opposition,7')", '7', '8', "(H5,83.873,(r)) (Mercury,263.694,(c)) (opposition,11')", '10', '11', "(Moon,334.545,(r)) (H12,334.548,(d)) (conjunction,0')", "(Moon,334.545,(r)) (H1,19.500,(d)) (45-semisquare,3')\n(H1,314.942,(r)) (Pluto,75.019,(c)) (trine,5')", 140]
['1935-01-08 18:35:28', '0', "(Moon,336.926,(r)) (H10,276.899,(c)) (sextile,2')", "(H1,40.428,(r)) (Moon,310.455,(c)) (square,2')\n(H1,40.428,(r)) (Venus,280.499,(c)) (trine,4')", "(H10,295.557,(r)) (Uranus,55.511,(d)) (trine,3')", "(Mercury,292.859,(r)) (H1,67.841,(d)) (135-sesquisquare,1')\n(H3,92.910,(r)) (Moon,2.922,(d)) (square,1')\n(H3,92.910,(r)) (Pluto,137.839,(d)) (45-semisquare,4')", "(Uranus,27.500,(r)) (H12,27.664,(d)) (conjunction,10')\n(H4,115.557,(r)) (Mean_Node,325.518,(d)) (150-quincunx,2')\n(H8,249.712,(r)) (Mean_Node,279.750,(c)) (30-semisextile,2')", '6', "(Jupiter,228.122,(r)) (H10,273.200,(c)) (45-semisquare,5')\n(H1,40.428,(r)) (Sun,265.503,(c)) (135-sesquisquare,5')\n(H10,295.557,(r)) (Sun,265.503,(c)) (30-semisextile,3')", "(H10,295.557,(r)) (H3,115.378,(d)) (opposition,11')", '9', "(Mars,192.965,(r)) (H4,147.943,(d)) (45-semisquare,1')\n(Jupiter,228.122,(r)) (H5,108.110,(c)) (trine,1')\n(H4,115.557,(r)) (Uranus,340.564,(c)) (135-sesquisquare,0')", "(H1,40.428,(r)) (Mean_Node,340.405,(d)) (sextile,1')\n(H7,220.428,(r)) (Mean_Node,340.405,(d)) (trine,1')\n(H1,40.428,(r)) (Venus,265.496,(c)) (135-sesquisquare,4')\n(H4,115.557,(r)) (Venus,265.496,(c)) (150-quincunx,4')\n(H7,220.428,(r)) (Venus,265.496,(c)) (45-semisquare,4')", '12', "(H8,249.712,(r)) (Mars,249.590,(d)) (conjunction,7')\n(H8,249.712,(r)) (Pluto,159.669,(d)) (square,3')", 283]
['1935-01-08 11:14:00', '0', "(H10,187.473,(r)) (Uranus,7.432,(c)) (opposition,2')", '2', '3', "(H10,187.473,(r)) (Mars,217.428,(d)) (30-semisextile,3')", '5', "(Moon,332.423,(r)) (H10,212.444,(d)) (trine,1')", '7', '8', '9', "(Sun,287.260,(r)) (H4,332.288,(c)) (45-semisquare,2')\n(Moon,332.423,(r)) (H4,332.288,(c)) (conjunction,8')", "(Moon,332.423,(r)) (H12,272.369,(d)) (sextile,3')\n(H4,7.473,(r)) (Mercury,337.403,(d)) (30-semisextile,4')", '12', '13', 100]
['1935-01-08 13:45:43', "(Uranus,27.499,(r)) (H10,207.600,(c)) (opposition,6')", "(H1,297.999,(r)) (Moon,357.997,(d)) (sextile,0')\n(H1,297.999,(r)) (Jupiter,207.961,(c)) (square,2')", "(Mercury,292.526,(r)) (H10,247.453,(d)) (45-semisquare,4')", '3', "(Saturn,325.757,(r)) (H12,295.753,(d)) (30-semisextile,0')", '5', "(Uranus,27.499,(r)) (H1,327.532,(d)) (sextile,2')\n(Neptune,164.448,(r)) (H9,224.534,(d)) (sextile,5')\n(Moon,333.974,(r)) (H1,274.025,(c)) (sextile,3')", "(H3,17.896,(r)) (Mean_Node,332.916,(d)) (45-semisquare,1')\n(Mercury,292.526,(r)) (H10,202.551,(c)) (square,1')", "(Venus,299.531,(r)) (H1,329.514,(d)) (30-semisextile,1')\n(Jupiter,228.090,(r)) (H3,348.071,(c)) (trine,1')", '9', "(H1,297.999,(r)) (Venus,268.024,(c)) (30-semisextile,1')", "(Mercury,292.526,(r)) (H4,82.618,(d)) (150-quincunx,5')", "(Pluto,115.131,(r)) (H1,355.196,(d)) (trine,4')\n(H1,297.999,(r)) (Moon,28.015,(d)) (square,1')\n(Sun,287.367,(r)) (H1,257.336,(c)) (30-semisextile,2')", "(H1,297.999,(r)) (Uranus,73.082,(d)) (135-sesquisquare,5')", 241]
